Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Fred Cox,78,0,0,9,11.5,0,0,0,0,0,0
Bruce Gossett,76,0,0,18,23.7,0,0,0,0,0,0
David Ray,76,0,0,5,6.6,0,0,0,0,0,0
Errol Mann,74,0,0,6,8.1,0,0,0,0,0,0
Horst Muhlmann,73,0,0,41,56.2,0,0,0,0,0,0
Jan Stenerud,70,0,0,25,35.7,0,0,0,0,0,0
Pete Gogolak,69,0,0,10,14.5,0,0,0,0,0,0
Mike Clark,67,0,0,8,11.9,0,0,0,0,0,0
Curt Knight,67,0,0,18,26.9,0,0,0,0,0,0
Garo Yepremian,66,0,0,13,19.7,0,0,0,0,0,0
Jim Bakken,65,0,0,15,23.1,0,0,0,0,0,0
Jim O'Brien,65,0,0,10,15.4,0,0,0,0,0,0
Mike Eischeid,62,0,0,12,19.4,0,0,0,0,0,0
Mac Percival,62,0,0,15,24.2,0,0,0,0,0,0
Don Cockroft,60,0,0,21,35,0,0,0,0,0,0
Bobby Howfield,60,0,0,36,60,0,0,0,0,0,0
Roy Gerela,55,0,0,24,43.6,0,0,0,0,0,0
Jim Turner,53,0,0,3,5.7,0,0,0,0,0,0
Dale Livingston,51,0,0,15,29.4,0,0,0,0,0,0
Grant Guthrie,49,0,0,3,6.1,0,0,0,0,0,0
Ken Vinyard,49,0,0,8,16.3,0,0,0,0,0,0
Tom Dempsey,47,0,0,12,25.5,0,0,0,0,0,0
Mark Moseley,41,0,0,4,9.8,0,0,0,0,0,0
Dennis Partee,35,0,0,8,22.9,0,0,0,0,0,0
Gene Mingo,32,0,0,4,12.5,0,0,0,0,0,0
