Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Mel Blount,52,1,52,0,0,0,52,0,0
Kenny Graham,41,1,41,0,0,0,41,2,0
Larry Carwell,16,3,48,0,0,0,45,0,0
Doug Wyatt,15,1,15,0,0,0,15,1,0
Johnny Roland,14,10,140,1,0,0,74,10,0
Ed Podolak,13.5,23,311,0,0,0,60,21,0
Bruce Taylor,12,43,516,0,0,0,76,10,0
John Mallory,11.9,17,203,1,0,0,75,3,0
Ron Gardin,11.8,28,330,1,0,0,80,20,0
Margene Adkins,11,4,44,0,0,0,24,2,0
Jake Scott,10.7,27,290,1,0,0,77,15,0
Lem Barney,10.4,25,259,1,0,0,65,3,0
Essex Johnson,10.3,7,72,0,0,0,36,1,0
Bill Thompson,10.1,23,233,0,0,0,45,1,0
Mike Garrett,10,3,30,0,0,0,18,0,0
Carl Garrett,9.9,17,168,0,0,0,62,0,0
Tom McCauley,9.9,14,138,1,0,0,77,9,0
Alvin Wyatt,9.2,25,231,1,0,0,63,4,0
Sid Blanks,9.2,9,83,0,0,0,22,4,0
Al Dodd,9.2,14,129,0,0,0,41,3,0
Bob Grim,9.2,5,46,0,0,0,24,5,0
Reece Morrison,8.9,15,133,0,0,0,34,2,0
Charlie Greer,8.8,14,123,0,0,0,38,4,0
Walt Sumner,8.8,8,70,0,0,0,38,11,0
Chris Fletcher,8.6,16,137,0,0,0,17,2,0
