Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Larry Brown,1125,237,5,0,0,75,0,0,0
Ron Johnson,1027,263,8,0,0,68,0,0,0
MacArthur Lane,977,206,11,0,0,75,0,0,0
Floyd Little,901,209,3,0,0,80,0,0,0
Larry Csonka,874,193,6,0,0,53,0,0,0
Hewritt Dixon,861,197,1,0,0,39,0,0,0
Donny Anderson,853,222,5,0,0,54,0,0,0
Duane Thomas,803,151,5,0,0,47,0,0,0
Ken Willard,789,236,7,0,0,20,0,0,0
Ed Podolak,749,168,3,0,0,65,0,0,0
Mel Farr,717,166,9,0,0,36,0,0,0
John Fuqua,691,138,7,0,0,85,0,0,0
Dave Osborn,681,207,5,0,0,16,0,0,0
Charlie Smith,681,168,3,0,0,24,0,0,0
Altie Taylor,666,198,2,0,0,34,0,0,0
Jim Kiick,658,191,6,0,0,56,0,0,0
Cyril Pinder,657,166,2,0,0,40,0,0,0
Leroy Kelly,656,206,6,0,0,33,0,0,0
Jess Phillips,648,163,4,0,0,76,0,0,0
Les Josephson,640,150,5,0,0,23,0,0,0
Cannonball Butler,636,166,0,0,0,33,0,0,0
Bo Scott,625,151,7,0,0,63,0,0,0
Paul Robinson,622,149,6,0,0,26,0,0,0
Emerson Boozer,581,139,5,0,0,27,0,0,0
Charlie Harraway,577,146,5,0,0,57,0,0,0
