Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,152,22,1,1,1,65,7,31.8,0
Breece Hall,127,10,0,2,1,83,2,20,1
Austin Ekeler,117,16,1,1,1,55,4,25,0
Nick Chubb,106,18,0,0,0,17,7,38.9,0
Joshua Kelley,91,16,1,0,0,14,8,50,0
Travis Etienne,77,18,1,1,0,26,4,22.2,0
Tyler Allgeier,75,15,2,1,0,22,5,33.3,0
David Montgomery,74,21,1,0,0,8,4,19,0
Miles Sanders,72,18,0,0,0,10,2,11.1,1
Tony Pollard,70,14,2,1,0,25,5,35.7,0
Kenneth Walker III,64,12,0,0,0,15,3,25,0
Derrick Henry,63,15,0,0,0,18,4,26.7,0
James Conner,62,14,0,0,0,12,3,21.4,0
Chuba Hubbard,60,9,0,1,0,21,6,66.7,0
Justin Fields,59,9,0,0,0,10,2,22.2,0
Brian Robinson,59,19,0,0,0,7,5,26.3,0
Joe Mixon,56,13,0,1,0,22,2,15.4,0
Bijan Robinson,56,10,0,1,0,21,2,20,0
Kenneth Gainwell,54,14,0,0,0,16,4,28.6,0
Javonte Williams,52,13,0,0,0,11,2,15.4,0
Kyren Williams,52,15,2,0,0,9,3,20,0
Saquon Barkley,51,12,0,0,0,18,2,16.7,0
Josh Jacobs,48,19,0,0,0,7,3,15.8,0
James Cook,46,12,0,0,0,13,5,41.7,0
Patrick Mahomes,45,6,0,0,0,16,3,50,0
