Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,104,20,0
Bills,0,0,0,0,101,22.2,0
Bears,0,0,0,0,138,24.5,0
Bengals,0,0,0,0,109,23.8,0
Browns,0,0,0,0,102,19.9,0
Cowboys,0,0,0,0,83,19.1,0
Broncos,0,0,0,0,97,21.3,0
Lions,0,0,0,0,127,25.4,0
Packers,0,0,0,0,114,22.5,0
Oilers,0,0,0,0,138,24,0
Colts,0,0,0,0,104,21.2,0
Chiefs,0,0,0,0,90,18.3,0
Rams,0,0,0,0,71,19.4,0
Raiders,0,0,0,0,88,20.2,0
Dolphins,0,0,0,0,109,21.3,0
Vikings,0,0,0,0,106,23.6,0
Patriots,0,0,0,0,142,25.4,0
Saints,0,0,0,0,131,23.6,0
Giants,0,0,0,0,128,25.8,0
Jets,0,0,0,0,116,21.6,0
Eagles,0,0,0,0,136,26.6,0
Cardinals,0,0,0,0,135,26.8,0
Steelers,0,0,0,0,95,19.5,0
Chargers,0,0,0,0,125,22.4,0
49ers,0,0,0,0,112,21.8,0
Redskins,0,0,0,0,89,18.5,0
