Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Rams,30,47,63.8,10_9,9_7,16_9,11_5,0_0,0_0,48,2
Steelers,29,43,67.4,10_9,12_10,9_5,12_5,0_0,0_0,49,3
Falcons,26,38,68.4,5_5,10_7,9_6,12_7,0_0,0_0,52,1
49ers,26,33,78.8,4_4,12_9,9_8,7_4,0_0,0_0,54,1
Dolphins,25,37,67.6,5_5,10_8,9_6,9_5,0_0,0_0,53,2
Chiefs,24,38,63.2,6_5,4_3,10_8,15_8,0_0,0_0,47,4
Eagles,24,40,60,7_7,7_4,11_7,9_4,0_0,0_0,51,3
Raiders,23,33,69.7,10_10,8_7,4_3,11_3,0_0,0_0,49,0
Cardinals,23,32,71.9,4_4,7_6,12_10,8_3,0_0,0_0,46,3
Browns,22,31,71,4_4,8_7,7_4,11_7,0_0,0_0,45,1
Broncos,22,33,66.7,5_5,5_5,9_8,9_3,0_0,0_0,50,3
Redskins,22,42,52.4,8_8,7_5,13_6,9_3,0_0,0_0,42,0
Bills,21,30,70,7_7,5_3,6_5,8_4,0_0,0_0,52,1
Bengals,21,31,67.7,5_5,7_6,9_5,6_4,0_0,0_0,51,0
Lions,21,33,63.6,4_4,6_3,15_12,6_1,0_0,0_0,52,0
Packers,21,35,60,7_7,6_4,12_8,7_2,0_0,0_0,46,3
Vikings,21,35,60,7_7,9_7,7_4,10_3,0_0,0_0,41,2
Cowboys,19,30,63.3,10_10,8_6,7_3,3_0,0_0,0_0,37,5
Saints,17,36,47.2,7_6,6_5,9_4,13_2,0_0,0_0,43,2
Giants,17,28,60.7,7_7,6_5,4_1,10_4,0_0,0_0,45,4
Jets,17,24,70.8,4_4,6_5,7_5,6_3,0_0,0_0,44,0
Colts,16,28,57.1,6_6,8_6,6_4,5_0,0_0,0_0,38,1
Oilers,15,24,62.5,4_4,2_2,8_6,8_3,0_0,0_0,49,2
Patriots,15,29,51.7,8_6,3_2,8_4,7_3,0_0,0_0,48,2
Bears,14,24,58.3,5_5,2_2,6_3,8_4,0_0,0_0,47,1
Chargers,12,27,44.4,5_5,7_5,5_2,8_0,0_0,0_0,39,3
