Player,INT,INT TD,INT Yds,Lng
Lyle Blackwood,10,0,163,37
Tony Greene,9,0,144,47
Gary Barbaro,8,1,165,102
Mario Clark,7,0,151,43
Rolland Lawrence,7,0,138,36
Stan White,7,0,84,19
Autry Beamon,6,0,36,20
Mel Blount,6,0,65,37
Thom Darden,6,1,107,49
Herman Edwards,6,0,9,6
Allan Ellis,6,0,23,11
James Hunter,6,0,104,26
Deac Sanders,6,0,122,45
Bill Simpson,6,0,157,42
Jack Tatum,6,0,146,41
Jimmy Allen,5,0,76,48
Ray Brown,5,0,56,24
Mike Fuller,5,0,61,37
Cliff Harris,5,0,7,7
Mike Haynes,5,0,54,22
Ken Houston,5,0,69,31
Monte Jackson,5,0,73,33
Randy Logan,5,0,124,45
Mike Reinfeldt,5,0,78,30
Pat Thomas,5,0,97,30
Bill Thompson,5,0,122,38
Mike Washington,5,1,71,45
Roger Wehrli,5,0,44,41
Dave Brown,4,1,68,29
Willie Brown,4,0,24,18
Bobby Bryant,4,0,44,41
Chuck Crist,4,0,6,6
Clarence Duren,4,0,45,25
Ray Easterling,4,0,46,36
Gary Fencik,4,0,33,23
Jack Ham,4,0,17,9
Bob Howard,4,0,10,6
Tom Jackson,4,1,95,73
Curtis Johnson,4,0,35,19
Joe Lavender,4,0,36,31
Steve Luke,4,0,9,7
Mike McCoy,4,0,2,2
Prentice McCray,4,0,61,48
Eddie McMillan,4,0,157,57
Lee Nelson,4,0,37,26
Ralph Ortega,4,0,15,6
Doug Plank,4,0,32,20
Steve Preece,4,0,55,29
Hal Stringert,4,0,64,29
Jeris White,4,0,61,32
Gerard Williams,4,0,25,25
Richard Wood,4,1,86,30
Willie Alexander,3,1,111,95
Lem Barney,3,0,27,22
Ron Bolton,3,0,50,43
Robert Brazile,3,0,40,16
Bill Bryant,3,1,54,54
Rick Byas,3,1,122,72
Neal Colzie,3,0,13,13
Oliver Davis,3,0,71,32
Tony Dungy,3,0,37,29
Glen Edwards,3,0,116,51
Steve Foley,3,0,22,22
Tim Foley,3,0,17,17
Tim Fox,3,0,39,27
Ken Geddes,3,0,9,6
Randy Gradishar,3,0,56,28
Gary Green,3,0,19,19
Tom Henderson,3,1,79,79
Gerald Irons,3,1,99,53
Dick Jauron,3,0,55,28
Bruce Laird,3,0,56,22
Jim Lynch,3,0,8,6
Zeke Moore,3,0,56,34
Nelson Munsey,3,0,25,14
Burgess Owens,3,0,18,12
Lemar Parrish,3,1,95,47
Joe Rizzo,3,0,49,38
Clarence Scott,3,1,72,49
Jake Scott,3,0,42,25
Mike Sensibaugh,3,1,110,79
Donnie Shell,3,0,14,8
Norris Thomas,3,0,23,23
Norm Thompson,3,0,39,20
Ted Washington,3,0,26,19
Charlie Waters,3,0,11,6
Mike Williams,3,0,36,36
Reggie Williams,3,1,67,54
Louis Wright,3,1,128,59
Nate Wright,3,0,0,0
Mark Arneson,2,0,23,15
George Atkinson,2,0,38,24
Bill Bergey,2,0,4,4
Gregg Bingham,2,0,36,30
Cedric Brown,2,0,66,27
Bob Brudzinski,2,0,24,23
Willie Buchanon,2,1,41,29
Greg Buttle,2,1,54,44
Marvin Cobb,2,0,37,34
Tim Collier,2,1,134,100
Bill Currier,2,0,0,0
Don Dufek,2,0,26,27
Dave Elmendorf,2,0,51,27
Tim Gray,2,0,16,11
Bo Harris,2,0,17,10
Dwight Harrison,2,0,0,0
Randy Hughes,2,0,19,11
Sam Hunt,2,0,17,10
Levi Johnson,2,0,51,32
Monte Johnson,2,0,15,15
Doug Jones,2,1,30,24
Paul Krause,2,0,25,25
Jim LeClair,2,0,8,8
Dave Lewis,2,0,55,42
Virgil Livers,2,0,29,29
Tom MacLeod,2,0,37,33
Ron McDole,2,0,15,15
John Outlaw,2,0,41,38
Robert Pennywell,2,1,30,20
Tony Peters,2,0,29,25
Charlie Phillips,2,0,35,29
Mel Phillips,2,0,23,23
Reggie Pinkney,2,1,61,48
Ken Reaves,2,0,17,10
Mel Renfro,2,0,28,25
Ray Rhodes,2,0,59,40
Floyd Rice,2,0,5,3
Ken Riley,2,0,14,14
Dewey Selmon,2,0,29,20
J.T. Thomas,2,0,10,12
Brad Van Pelt,2,0,9,9
Dave Washington,2,0,68,50
Mark Washington,2,0,32,21
Dwight White,2,0,27,19
Dennis Winston,2,0,7,7
Jim Youngblood,2,1,27,25
Carl Allen,1,0,22,22
Nate Allen,1,0,0,0
Charlie Babb,1,0,15,15
Pete Barnes,1,0,13,13
Matt Blair,1,0,18,18
Bob Breunig,1,0,15,15
Eddie Brown,1,0,0,0
Doug Buffone,1,0,12,12
Fred Carr,1,0,15,15
Tommy Casanova,1,0,0,0
Clarence Chapman,1,0,16,16
Mark Cotney,1,0,0,0
Curley Culp,1,0,25,25
Mike Curtis,1,0,1,1
Fred Dean,1,1,22,22
Jerome Dove,1,0,32,32
Brad Dusek,1,0,0,0
John Ebersole,1,0,0,0
Mike Esposito,1,0,55,55
Larry Evans,1,0,0,0
Steve Freeman,1,0,4,4
Larry Gordon,1,0,27,27
Johnnie Gray,1,0,12,12
Sammy Green,1,0,9,9
Charlie Hall,1,0,2,2
Willie Hall,1,0,0,0
Billy Hardee,1,0,0,0
Willie Harper,1,0,6,6
Lester Hayes,1,0,27,27
Mike Hegman,1,0,0,0
Tom Hicks,1,0,9,9
Bob Horn,1,0,12,12
Tom Howard,1,0,0,0
Pat Hughes,1,0,2,2
Bernard Jackson,1,0,13,13
Ernie Jackson,1,0,0,0
Steve Jackson,1,0,33,33
Cecil Johnson,1,0,0,0
Greg Johnson,1,1,0,0
Ernie Jones,1,0,0,0
Joe Jones,1,0,0,0
Leroy Jones,1,1,17,17
Curtis Jordan,1,0,0,0
Larry Keller,1,0,36,36
Brian Kelley,1,0,17,17
Marv Kellum,1,0,14,14
Steve Kiner,1,0,17,17
Ernest Kirk,1,0,2,2
Aaron Kyle,1,0,9,9
Jack Lambert,1,0,5,5
Jim Laslavic,1,0,14,14
Tony Leonard,1,0,0,0
D.D. Lewis,1,0,29,29
Woodrow Lowe,1,0,28,28
Larry Mallory,1,0,9,9
Jim Marsalis,1,0,0,0
George Martin,1,1,30,30
Bob Martin,1,0,0,0
Bob Matheson,1,0,7,7
Ralph McGill,1,0,30,30
Fred McNeill,1,0,0,0
Jim Merlo,1,1,57,57
Melvin Morgan,1,0,0,0
Tom Myers,1,0,2,2
Doug Nettles,1,0,30,30
Artimus Parker,1,0,45,45
Whitney Paul,1,0,6,6
Rod Perry,1,0,0,0
Clyde Powers,1,0,1,1
Vern Roberson,1,0,0,0
Isiah Robertson,1,0,20,20
Jeff Severson,1,0,0,0
Jeff Siemon,1,0,9,9
Ed Simonini,1,0,0,0
Otis Sistrunk,1,0,0,0
Paul Smith,1,0,6,6
Greg Stemrick,1,0,18,18
Art Stringer,1,0,20,20
Scott Studwell,1,0,4,4
Bob Swenson,1,0,0,0
Ed Taylor,1,0,0,0
Skip Thomas,1,0,16,10
Emmitt Thomas,1,0,0,0
Tom Toner,1,0,10,10
Skip Vanderbundt,1,0,6,6
Rick Volk,1,0,0,0
Jackie Wallace,1,0,23,23
Charlie Weaver,1,0,0,0
Cornell Webster,1,0,-4,-4
Charlie West,1,0,7,7
Phil Wise,1,0,4,4
Roland Woolsey,1,0,0,0
Jeff Wright,1,0,5,5
