Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Jets,634,2646,4.2,23,0,0,52T,153,24.1,0
Bears,627,2486,4,17,0,0,43T,140,22.3,0
Oilers,616,2571,4.2,24,0,0,61T,149,24.2,0
Buccaneers,609,2437,4,13,0,0,61T,107,17.6,0
Redskins,609,2328,3.8,17,0,0,66,126,20.7,0
Patriots,604,2252,3.7,16,0,0,52,132,21.8,0
Rams,592,2460,4.2,16,0,0,63,134,22.6,0
Cowboys,578,2375,4.1,15,0,0,41,122,21.1,0
Chiefs,569,2316,4.1,18,0,0,84,122,21.4,0
Eagles,567,2421,4.3,17,0,0,80T,122,21.5,0
Cardinals,566,2582,4.6,24,0,0,76,145,25.6,0
Dolphins,561,2187,3.9,19,0,0,42,126,22.5,0
Steelers,561,2603,4.6,25,0,0,75,141,25.1,0
Bengals,560,2329,4.2,23,0,0,63T,138,24.6,0
Saints,551,2476,4.5,28,0,0,69T,160,29,0
Broncos,525,2036,3.9,13,0,0,30,130,24.8,0
Colts,515,1674,3.2,12,0,0,26,97,18.8,0
Browns,504,2281,4.5,16,0,0,77,125,24.8,0
Falcons,500,2200,4.4,15,0,0,60,126,25.2,0
Seahawks,500,1967,3.9,24,0,0,67T,121,24.2,0
Giants,498,1820,3.6,12,0,0,32,82,16.5,0
Raiders,491,1763,3.6,13,0,0,72,102,20.8,0
Vikings,487,1764,3.6,9,0,0,34,112,23,0
Packers,483,1861,3.8,14,0,0,60,121,25,0
Chargers,481,1668,3.5,25,0,0,55T,114,23.7,0
49ers,480,1932,4,17,0,0,56T,120,25,0
Bills,474,1621,3.4,11,0,0,75T,83,17.5,0
Lions,441,1677,3.8,11,0,0,38T,85,19.3,0
