Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Patriots,88,0,8,9.1,0,0,0,0,0,0
Steelers,86,0,3,3.5,0,0,0,0,0,0
Chargers,84,0,11,13.1,0,0,0,0,0,0
Cowboys,80,0,10,12.5,0,0,0,0,0,0
Raiders,80,0,10,12.5,0,0,0,0,0,0
Redskins,80,0,4,5,0,0,0,0,0,0
Seahawks,79,0,3,3.8,0,0,0,0,0,0
Eagles,78,0,9,11.5,0,0,0,0,0,0
Browns,77,0,5,6.5,0,0,0,0,0,0
Oilers,77,0,7,9.1,0,0,0,0,0,0
Saints,77,0,1,1.3,0,0,0,0,0,0
Dolphins,76,0,7,9.2,0,0,0,0,0,0
Bengals,73,0,9,12.3,0,0,0,0,0,0
Jets,73,0,3,4.1,0,0,0,0,0,0
49ers,72,0,3,4.2,0,0,0,0,0,0
Rams,71,0,13,18.3,0,0,0,0,0,0
Bears,69,0,9,13,0,0,0,0,0,0
Cardinals,69,0,11,15.9,0,0,0,0,0,0
Falcons,67,0,3,4.5,0,0,0,0,0,0
Bills,65,0,10,15.4,0,0,0,0,0,0
Colts,64,0,6,9.4,0,0,0,0,0,0
Broncos,63,0,6,9.5,0,0,0,0,0,0
Buccaneers,63,0,6,9.5,0,0,0,0,0,0
Packers,61,0,8,13.1,0,0,0,0,0,0
Vikings,61,0,1,1.6,0,0,0,0,0,0
Chiefs,57,0,5,8.8,0,0,0,0,0,0
Giants,55,0,9,16.4,0,0,0,0,0,0
Lions,53,0,0,0,0,0,0,0,0,0
