Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Chiefs,10.6,58,612,2,0,0,88T,10,0
Dolphins,9.9,34,337,1,0,0,86T,27,0
Eagles,9.5,57,544,0,0,0,38,8,0
Chargers,9.4,52,488,0,0,0,27,9,0
Broncos,9.3,43,401,0,0,0,44,8,0
Jets,8.7,36,314,0,0,0,51,10,0
Bears,8.6,39,334,1,0,0,77T,18,0
Browns,8.4,41,345,0,0,0,47,14,0
Patriots,8.4,37,311,1,0,0,80T,22,0
Bills,8.4,38,318,0,0,0,32,11,0
Steelers,8.3,63,523,0,0,0,38,11,0
Lions,8.3,45,372,0,0,0,31,11,0
Seahawks,8.3,34,281,0,0,0,30,6,0
Redskins,8.2,33,271,0,0,0,52,14,0
Colts,8,49,391,1,0,0,75T,12,0
Saints,7.7,30,231,0,0,0,33,16,0
Cardinals,7.7,48,368,0,0,0,77,18,0
Bengals,7.5,42,316,0,0,0,40,9,0
Falcons,7.2,26,188,0,0,0,60,15,0
49ers,7.1,44,314,0,0,0,33,8,0
Cowboys,6.6,51,334,0,0,0,17,15,0
Buccaneers,6.2,71,438,0,0,0,17,2,0
Oilers,5.8,38,221,0,0,0,36,8,0
Rams,5.7,58,330,0,0,0,30,19,0
Raiders,5.1,35,179,0,0,0,20,7,0
Vikings,5,57,288,0,0,0,42,9,0
Packers,5,28,141,0,0,0,19,13,0
Giants,3.9,28,109,0,0,0,13,17,0
