Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
49ers,597,363,60.8,6.4,3799,27,26,76.2,171,28.6,0,0,93,30,222
Chargers,594,350,58.9,8,4741,30,26,83,244,41.1,0,0,65,32,210
Vikings,574,331,57.7,6.8,3934,22,23,74.8,191,33.3,0,0,76,41,246
Saints,566,334,59,7.1,4010,26,22,79.9,183,32.3,0,0,56T,46,362
Browns,554,337,60.8,7.5,4132,30,14,91.4,207,37.4,0,0,65,23,217
Buccaneers,530,256,48.3,6.4,3414,20,17,68.4,154,29.1,0,0,61,24,194
Seahawks,517,287,55.5,6.8,3494,18,23,69.6,166,32.1,0,0,67T,51,398
Giants,514,245,47.7,5.7,2931,19,25,57.6,136,26.5,0,0,58,47,322
Packers,511,289,56.6,7.1,3651,15,29,65.1,164,32.1,0,0,69T,43,360
Bengals,510,281,55.1,6.1,3102,17,25,64,147,28.8,0,0,67,37,287
Colts,493,272,55.2,6.9,3409,25,24,73.5,174,35.3,0,0,47,36,281
Dolphins,492,267,54.3,6,2953,21,26,64.5,149,30.3,0,0,61,31,265
Redskins,486,284,58.4,6.5,3171,17,18,74.2,148,30.4,0,0,54T,36,333
Steelers,484,250,51.6,7.9,3832,26,24,75.4,177,36.6,0,0,72T,37,264
Jets,481,265,55.1,6.9,3335,17,30,62.7,146,30.4,0,0,55,42,326
Eagles,477,275,57.6,7.9,3771,28,12,92.2,186,39,0,0,56T,32,247
Cardinals,470,239,50.8,6.5,3063,16,24,61.7,136,28.9,0,0,69T,50,387
Falcons,467,259,55.5,7.6,3568,31,17,87.1,166,35.6,0,0,81T,35,324
Broncos,467,262,56.1,6.6,3107,14,25,64.2,158,33.8,0,0,52,44,330
Oilers,463,296,63.9,7.1,3271,15,28,70.4,152,32.8,0,0,79,27,264
Bills,461,262,56.8,6.4,2936,20,19,73.3,157,34.1,0,0,69,20,186
Raiders,456,235,51.5,7.2,3294,23,24,70,149,32.7,0,0,86T,47,395
Rams,451,261,57.9,7.6,3441,31,23,83.8,157,34.8,0,0,74,29,234
Cowboys,449,265,59,7.5,3356,30,25,81.5,171,38.1,0,0,58T,31,252
Lions,423,248,58.6,7.8,3287,13,12,81.7,143,33.8,0,0,87T,45,346
Patriots,413,240,58.1,8.2,3395,27,27,79.3,154,37.3,0,0,71,25,200
Bears,404,209,51.7,6.6,2669,13,25,57.7,121,30,0,0,89,33,274
Chiefs,401,237,59.1,7.2,2869,15,14,79.1,122,30.4,0,0,77T,57,421
