Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Chiefs,14.5,40,581,2,0,0,75T,8,0
Redskins,10.2,48,487,0,0,0,64,5,0
Falcons,10.1,53,536,0,0,0,56,10,0
Cowboys,10.1,55,556,0,0,0,52,4,0
Broncos,9.7,42,408,0,0,0,34,6,0
49ers,9.1,45,409,2,0,0,57T,5,0
Eagles,8.9,63,560,0,0,0,32,2,0
Steelers,8.7,45,391,0,0,0,27,6,0
Raiders,8.6,49,421,0,0,0,34,7,0
Patriots,8.6,60,513,1,0,0,75T,6,0
Seahawks,8.5,41,349,1,0,0,75T,9,0
Lions,8.3,56,463,0,0,0,53,10,0
Chargers,8.2,41,335,0,0,0,31,13,0
Giants,8.2,37,302,0,0,0,66,13,0
Jets,8.2,33,269,0,0,0,24,8,0
Packers,8,37,297,0,0,0,20,9,0
Oilers,8,48,384,0,0,0,68,8,0
Saints,8,22,176,0,0,0,18,12,0
Cardinals,8,50,399,1,0,0,57T,14,0
Vikings,7.4,34,251,0,0,0,19,10,0
Colts,7.2,26,188,0,0,0,20,15,0
Bears,6.8,41,277,0,0,0,25,12,0
Rams,6.7,47,315,0,0,0,26,14,0
Dolphins,6.7,32,213,0,0,0,30,23,0
Bills,6.6,39,259,0,0,0,17,12,0
Bengals,6.5,39,252,0,0,0,42,8,0
Buccaneers,5.5,57,313,0,0,0,19,2,0
Browns,4.9,35,170,0,0,0,15,7,0
