Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Michael Dickson,59,47.2,189,4,73,236,0,1,0,2,0,1,7,0,0
Jake Camarda,54.5,48.2,289,6,63,327,2,0,1,1,0,4,18,0,0
Jamie Gillan,53.3,47.7,143,3,62,160,0,0,1,0,0,2,17,0,0
Johnny Hekker,53.2,52.4,262,5,69,266,1,1,1,0,1,2,4,0,0
Trenton Gill,53,39.5,158,4,54,212,1,1,0,0,0,3,54,0,0
Ryan Wright,51.4,45.6,228,5,58,257,0,1,0,0,0,4,29,0,0
Jordan Stout,49.8,45,225,5,67,249,3,0,0,0,3,2,24,0,0
Daniel Whelan,49.8,38.6,193,5,68,249,1,0,0,2,1,2,16,0,0
Tommy Townsend,49.4,46.2,231,5,58,247,3,0,1,0,3,1,16,0,0
Arryn Siposs,49.2,44,176,4,54,197,0,0,0,0,1,3,21,0,0
AJ Cole,49,49,49,1,49,49,0,0,0,0,1,0,0,0,0
Bryan Anger,48.7,39.7,119,3,56,146,1,0,1,1,0,1,7,0,0
J.K. Scott,48.3,41.7,125,3,62,145,0,0,0,1,2,0,0,0,0
Lou Hedley,48.2,40.8,204,5,52,241,1,1,0,0,0,4,37,0,0
Bradley Pinion,48.1,46.1,323,7,60,337,3,2,1,0,1,3,14,0,0
Corey Bojorquez,47.3,43.9,307,7,66,331,3,3,0,0,1,3,24,0,0
Nolan Cooney,47,45,225,5,56,235,2,1,0,0,1,3,10,0,0
Sam Martin,47,25,75,3,53,141,1,0,0,0,1,2,66,1,0
Bryce Baringer,45.2,35.2,176,5,65,226,3,1,0,1,1,2,30,0,0
Ethan Evans,45,27,27,1,45,45,0,0,0,0,0,1,18,0,0
Mitch Wishnowsky,44.7,44,132,3,56,134,3,1,1,0,0,1,2,0,0
Logan Cooke,44.6,40.6,203,5,52,223,2,0,1,0,2,2,20,0,0
Jack Fox,44.4,41.2,206,5,61,222,3,0,1,0,1,3,16,0,0
Tress Way,44.3,40.3,242,6,59,266,3,0,1,0,1,4,24,0,0
Ty Zentner,44,39,156,4,48,176,0,2,0,1,1,0,0,0,0
