Team,INT,INT TD,INT Yds,Lng
Seahawks,38,7,697,90
Broncos,31,4,510,63
Steelers,31,4,433,69
Chiefs,30,2,465,71T
Cowboys,28,2,297,43T
Packers,27,2,338,99
Bengals,25,4,368,70
49ers,25,2,345,54
Dolphins,24,2,478,86
Bears,21,1,290,61T
Cardinals,21,1,163,25T
Redskins,21,4,391,50
Browns,20,0,236,47
Raiders,20,2,339,97T
Eagles,20,0,287,33
Giants,19,0,182,29
Chargers,19,4,499,99
Colts,18,1,190,59T
Buccaneers,18,1,308,38T
Rams,17,3,399,81
Patriots,17,0,210,85
Bills,16,0,233,55
Jets,15,0,152,28
Lions,14,0,87,36
Oilers,13,0,139,26
Saints,13,3,213,47
Falcons,12,1,147,35T
Vikings,11,1,120,53T
