Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Patriots,32,41,78,1_1,7_7,17_15,16_9,0_0,0_0,49,1
Bears,28,41,68.3,1_1,14_11,12_9,8_6,0_0,0_0,52,2
Browns,26,33,78.8,5_5,11_9,11_10,3_1,0_0,0_0,52,1
Saints,26,30,86.7,1_1,11_11,7_6,6_6,0_0,0_0,53,0
Giants,26,37,70.3,0_0,13_12,10_8,12_6,0_0,0_0,46,1
49ers,25,35,71.4,0_0,6_6,18_14,9_4,0_0,0_0,50,2
Falcons,23,36,63.9,2_2,5_4,11_7,14_10,0_0,0_0,49,2
Oilers,22,27,81.5,1_1,7_7,9_7,7_6,0_0,0_0,51,0
Vikings,22,28,78.6,0_0,8_7,10_9,7_4,0_0,0_0,53,2
Seahawks,22,35,62.9,0_0,8_6,9_8,11_3,0_0,0_0,54,1
Raiders,21,28,75,3_3,6_6,9_6,8_5,0_0,0_0,52,2
Steelers,21,32,65.6,1_0,7_6,7_6,14_9,0_0,0_0,45,1
Broncos,20,28,71.4,0_0,4_3,8_8,14_8,0_0,0_0,51,0
Eagles,20,31,64.5,0_0,6_6,12_10,10_3,0_0,0_0,50,1
Chiefs,19,26,73.1,1_1,6_5,5_5,13_8,0_0,0_0,47,1
Lions,18,25,72,2_2,2_1,8_7,8_6,0_0,0_0,52,0
Redskins,18,32,56.2,1_1,9_8,5_3,10_4,0_0,0_0,57,1
Bills,17,27,63,1_1,6_6,7_7,8_3,0_0,0_0,48,1
Bengals,17,32,53.1,2_1,5_4,7_5,14_5,0_0,0_0,51,1
Packers,17,27,63,0_0,8_8,6_4,9_3,0_0,0_0,50,2
Rams,17,24,70.8,1_1,6_5,9_6,6_4,0_0,0_0,50,1
Buccaneers,17,24,70.8,0_0,5_5,8_7,6_3,0_0,0_0,55,1
Jets,16,19,84.2,1_1,5_5,4_4,8_5,0_0,0_0,50,1
Chargers,16,25,64,1_1,9_6,8_5,5_3,0_0,0_0,50,2
Cowboys,15,21,71.4,0_0,5_4,7_6,7_4,0_0,0_0,50,0
Dolphins,14,22,63.6,1_1,5_5,6_4,8_3,0_0,0_0,52,1
Colts,13,25,52,0_0,4_4,5_2,8_5,0_0,0_0,52,0
Cardinals,11,24,45.8,0_0,5_4,10_5,9_2,0_0,0_0,47,1
