Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Sterling Sharpe,90,1423,12,19,4,79,65,72.2,1,0,0
Andre Reed,88,1312,9,18,5,78,62,70.4,4,0,0
Mark Carrier,86,1422,9,19,4,78,62,72.1,1,0,0
Art Monk,86,1186,8,15,5,60,57,66.3,2,0,0
Jerry Rice,82,1483,17,25,8,68,67,81.7,0,0,0
Ricky Sanders,80,1138,4,13,6,68,59,73.8,0,0,0
Gary Clark,79,1229,9,19,4,80,57,72.2,1,0,0
Brian Blades,77,1063,5,15,1,60,57,74,3,0,0
Vance Johnson,76,1095,7,17,5,69,51,67.1,0,0,0
John L. Williams,76,657,6,5,1,51,29,38.2,1,0,0
Anthony Miller,75,1252,10,23,5,69,56,74.7,0,0,0
Tom Rathman,73,616,1,6,0,36,31,42.5,0,0,0
Henry Ellard,70,1382,8,32,6,53,61,87.1,0,0,0
Richard Johnson,70,1091,8,14,3,75,47,67.1,2,0,0
Keith Byars,68,721,0,6,1,60,31,45.6,1,0,0
Eric Martin,68,1090,8,19,3,53,46,67.6,1,0,0
Drew Hill,66,938,8,13,4,50,50,75.8,1,0,0
Anthony Carter,65,1066,4,14,2,50,57,87.7,0,0,0
Tim McGee,65,1211,8,21,6,74,48,73.8,0,0,0
Webster Slaughter,65,1236,6,16,7,97,46,70.8,2,0,0
Mark Clayton,64,1011,9,14,4,78,47,73.4,1,0,0
Bill Brooks,63,919,4,15,3,55,42,66.7,1,0,0
Keith Jackson,63,648,3,7,0,33,36,57.1,1,0,0
Al Toon,63,693,2,6,0,37,40,63.5,0,0,0
J.T. Smith,62,778,5,12,0,31,40,64.5,0,0,0
Jim Jensen,61,557,6,1,0,20,27,44.3,0,0,0
Reggie Langhorne,60,749,2,7,1,62,31,51.7,2,0,0
John Taylor,60,1077,10,13,6,95,41,68.3,1,0,0
Thurman Thomas,60,669,6,8,1,74,31,51.7,1,0,0
Keith Woodside,59,527,0,3,0,33,21,35.6,3,0,0
Shawn Collins,58,862,3,16,2,47,42,72.4,0,0,0
Mervyn Fernandez,57,1069,9,17,4,75,48,84.2,3,0,0
Ernest Givins,55,794,3,9,3,48,41,74.6,0,0,0
Earnest Byner,54,458,2,4,0,27,23,42.6,1,0,0
Eric Metcalf,54,397,4,4,1,68,20,37,0,0,0
Eric Sievers,54,615,0,7,1,46,28,51.8,1,0,0
Albert Bentley,52,525,3,5,1,61,24,46.2,1,0,0
Eddie Brown,52,814,6,13,3,46,34,65.4,0,0,0
Dalton Hilliard,52,514,5,6,1,54,20,38.5,1,0,0
Andre Rison,52,820,4,12,3,61,34,65.4,1,0,0
Pete Holohan,51,510,2,5,0,31,26,51,1,0,0
Neal Anderson,50,434,4,5,1,49,23,46,0,0,0
Bruce Hill,50,673,5,12,2,53,36,72,1,0,0
Rodney Holman,50,736,9,10,2,73,38,76,0,0,0
Louis Lipps,50,944,5,15,5,79,39,78,1,0,0
Roger Craig,49,473,1,4,2,44,23,46.9,1,0,0
Mark Duper,49,717,1,11,1,41,35,71.4,0,0,0
Hart Lee Dykes,49,795,5,11,1,42,42,85.7,2,0,0
Lonzell Hill,48,636,4,9,1,46,32,66.7,1,0,0
