Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Oilers,411,4804,11.7,24,60,8,68,236,57.4,9
Bills,332,4140,12.5,39,51,10,77,208,62.6,4
Dolphins,327,4077,12.5,26,44,6,54,205,62.7,5
49ers,325,4167,12.8,29,49,13,97,197,60.6,3
Browns,312,3547,11.4,19,43,9,71,164,52.6,1
Cowboys,305,3663,12,16,47,5,66T,191,62.6,10
Colts,305,3066,10,10,33,2,49T,163,53.4,5
Jets,295,3429,11.6,12,44,4,53T,169,57.3,3
Saints,292,3419,11.7,20,41,8,65,157,53.8,5
Bengals,290,3413,11.8,14,42,9,53,162,55.9,4
Seahawks,290,3371,11.6,15,35,6,60T,159,54.8,6
Rams,289,3610,12.5,13,44,4,78,180,62.3,7
Bears,286,3292,11.5,16,34,5,84,168,58.7,6
Eagles,285,3169,11.1,17,38,7,75,142,49.8,9
Chiefs,284,3281,11.6,19,32,6,63T,172,60.6,4
Vikings,284,3016,10.6,16,31,6,50,158,55.6,4
Patriots,284,3442,12.1,11,46,7,60,155,54.6,6
Packers,272,3213,11.8,17,41,2,75,150,55.2,7
Chargers,272,2983,11,13,29,5,58T,155,57,3
Giants,261,3025,11.6,13,39,5,55,148,56.7,5
Redskins,261,3771,14.4,30,52,15,82,179,68.6,2
Falcons,260,3634,14,30,51,11,80,162,62.3,3
Steelers,259,3313,12.8,20,40,8,89,158,61,5
Cardinals,254,3039,12,10,32,6,62,143,56.3,4
Lions,252,2974,11.8,16,29,3,73,148,58.7,2
Buccaneers,250,2955,11.8,13,32,2,87,147,58.8,4
Broncos,246,3310,13.5,13,50,9,71,150,61,4
Raiders,220,2977,13.5,20,41,10,80,132,60,3
