Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Redskins,2843,1239,161,98,160,58.8,104,21.5,991
Packers,2803,1191,146,81,171,50.3,101,24,990
Chargers,2802,1111,163,76,161,57.1,118,24.1,1018
Vikings,2707,1205,142,78,157,60.8,115,23.1,995
Patriots,2704,874,231,98,130,53.3,71,17,928
Seahawks,2699,715,207,62,114,49.6,77,19.2,945
Steelers,2696,936,192,77,143,57.4,119,23,989
Cowboys,2667,1118,151,100,183,58.3,119,23.8,1014
Eagles,2658,1029,177,89,138,54.1,138,26.7,1009
Colts,2644,947,99,63,174,57,70,18.5,969
Chiefs,2616,900,172,62,134,58.3,87,19.5,907
Buccaneers,2609,970,253,97,165,55.2,100,22.8,994
Broncos,2593,842,132,60,135,52.3,84,20.8,928
Raiders,2593,1002,158,62,139,59.7,99,22.8,953
Dolphins,2558,999,198,100,194,58.4,101,24.8,998
Bills,2554,1017,123,50,192,65.5,133,24.2,1087
Jets,2543,806,341,135,137,54.6,94,22.2,958
Bengals,2542,817,312,176,114,50.2,112,24.7,934
Cardinals,2515,979,293,122,161,54,88,22.3,948
Saints,2510,959,103,38,155,61.8,92,20.3,895
Giants,2508,872,157,97,119,51.3,120,26.2,936
Bears,2456,894,197,64,157,59,101,23.6,951
Browns,2438,830,209,113,141,59.2,85,18.8,883
49ers,2411,1122,167,64,192,60.2,135,28,994
Falcons,2355,912,169,61,194,57.7,67,20.8,910
Rams,2320,860,86,12,174,60.2,83,21.1,914
Lions,2167,747,85,36,133,57.6,83,22,843
Oilers,2143,911,113,37,217,58.2,101,28.6,958
