Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Raiders,35,79.6,27,93.1,0,1
Lions,34,79.1,28,100,1,0
Packers,31,83.8,35,100,1,0
Chargers,31,77.5,31,93.9,0,0
Cowboys,30,81.1,40,97.6,0,2
Oilers,29,85.3,39,97.5,0,0
Saints,28,80,33,100,1,2
Steelers,28,93.3,32,100,0,0
Bears,27,75,21,95.4,0,0
Falcons,26,96.3,34,100,1,0
Broncos,26,74.3,41,97.6,0,0
Colts,26,83.9,15,93.8,0,0
Vikings,26,74.3,27,96.4,0,0
Giants,26,76.5,28,96.6,0,1
Bengals,24,77.4,13,81.2,0,0
Dolphins,24,75,37,100,0,2
Bills,23,71.9,36,97.3,0,1
Chiefs,23,79.3,37,100,0,0
Seahawks,23,82.1,29,100,0,0
Cardinals,21,75,37,100,0,1
Patriots,19,61.3,25,100,0,0
Jets,17,65.4,31,100,0,0
Browns,16,72.7,36,100,0,3
Rams,16,69.6,23,92,0,0
Eagles,16,69.6,31,88.6,0,0
49ers,16,61.5,59,96.7,0,1
Buccaneers,16,72.7,27,100,0,0
Redskins,16,57.1,24,92.3,0,0
