Player,INT,INT TD,INT Yds,Lng
Eric Turner,9,1,199,93
Aeneas Williams,9,0,89,43
Ray Buchanan,8,3,221,90
Merton Hanks,7,0,93,38
Maurice Hurst,7,0,68,24
Terry McDaniel,7,2,103,35
Darren Perry,7,0,112,42
Greg Jackson,6,1,86,55
Deion Sanders,6,3,303,93
Terrell Buckley,5,0,38,26
Vinnie Clark,5,0,149,74
James Hasty,5,0,90,40
D.J. Johnson,5,0,0,0
Darryll Lewis,5,0,57,20
Jimmy Spencer,5,0,24,11
Marcus Turner,5,1,155,90
Troy Vincent,5,1,113,58
James Washington,5,0,43,25
Darren Woodson,5,1,140,94
Donnell Woolford,5,0,30,25
Larry Brown,4,0,21,14
Andre Collins,4,2,150,92
Matt Darby,4,0,20,20
Cris Dishman,4,1,74,38
Vencie Glenn,4,0,55,32
