Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Johnnie Morton,35.8,4,143,1,2,1,93,0,1
Tyrone Braxton,34,1,34,0,1,0,34,0,0
Alton Montgomery,29,2,58,0,2,0,37,0,0
Robert Brooks,28.9,9,260,1,6,1,96,0,1
Bam Morris,28.5,4,114,0,4,1,45,0,0
Mel Gray,28.4,45,1276,3,32,4,102,0,3
Alexander Wright,28.2,10,282,0,7,3,55,0,0
Vaughn Dunbar,28,1,28,0,1,0,28,0,0
Michael Timpson,28,1,28,0,1,0,28,0,0
Lamont Warren,28,2,56,0,1,0,38,0,0
Donnell Woolford,28,1,28,0,1,0,28,0,0
Bryan Reeves,27.7,3,83,0,1,1,53,0,0
Herschel Walker,27.7,21,581,1,14,3,94,0,0
Ernest Givins,27,1,27,0,1,0,27,0,0
Randy Baldwin,26.9,28,753,1,17,6,85,0,1
Kevin R. Williams,26.7,43,1148,1,30,5,87,0,0
Andre Coleman,26.4,49,1293,2,30,8,90,0,3
Robert Smith,26.2,16,419,0,12,2,45,0,0
Brian Mitchell,25.5,58,1478,0,41,5,86,0,2
Jon Vaughn,25.1,33,829,2,16,3,93,0,0
Charles Wilson,25.1,10,251,0,8,2,41,0,0
Terrence Warren,25,14,350,0,9,1,47,0,0
Nate Lewis,25,35,874,0,25,3,55,0,1
Tyrone Hughes,24.7,63,1556,2,40,6,98,0,3
Rod Woodson,24.3,15,365,0,9,2,54,0,0
