Player,Comb,Asst,Solo,Sck
Chris Spielman,191,70,121,0
Junior Seau,154,31,123,5.5
Sam Mills,152,39,113,1
Jeff Herrod,137,39,98,1
Jessie Tuggle,133,37,96,0
Al Smith,132,44,88,2.5
Mike Johnson,131,41,90,1.5
Mo Lewis,131,27,104,6
Jack Del Rio,128,43,85,2
Andre Collins,127,21,106,1.5
Terry Wooden,127,32,95,1.5
Rod Stephens,126,33,93,2.5
Steve Tovar,124,27,97,3
Chad Brown,122,29,93,8.5
Hardy Nickerson,122,36,86,1
Pepper Johnson,121,26,95,2.5
Ed McDaniel,120,29,91,1.5
Eric Hill,119,39,80,1.5
Michael Brooks,118,27,91,1
Vincent Brown,118,36,82,1.5
Robert Jones,118,34,84,0
Steve Grant,116,43,73,0
Blaine Bishop,114,36,78,1.5
Darryl Talley,114,33,81,0
Marcus Robertson,113,31,82,0
