Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Barry Sanders,1883,331,7,18,7,85,72,21.8,0
Chris Warren,1545,333,9,13,1,41,71,21.3,5
Emmitt Smith,1484,368,21,7,1,46,101,27.4,1
Natrone Means,1350,343,12,4,0,25,79,23,5
Marshall Faulk,1282,314,11,12,2,52,58,18.5,5
Thurman Thomas,1093,287,7,4,0,29,62,21.6,1
Rodney Hampton,1075,327,6,2,0,27,58,17.7,0
Terry Allen,1031,255,8,5,2,45,56,22,3
Jerome Bettis,1025,319,3,0,0,19,53,16.6,5
Errict Rhett,1011,284,7,4,0,27,70,24.6,2
Harvey Williams,983,282,4,1,0,28,45,16,3
Johnny Johnson,931,240,3,2,1,90,47,19.6,4
Lewis Tillman,899,275,7,1,0,25,46,16.7,1
Leroy Hoard,890,209,5,4,0,39,41,19.6,7
Ricky Watters,877,239,6,2,0,23,47,19.7,8
Bernie Parmalee,868,216,6,3,1,47,55,25.5,4
Barry Foster,851,216,5,4,0,29,46,21.3,0
Bam Morris,836,198,7,1,0,20,50,25.2,3
Ronald Moore,780,232,4,3,0,24,39,16.8,2
Craig Heyward,779,183,7,0,0,17,42,23,4
Lorenzo White,757,191,3,3,0,33,37,19.4,2
Marcus Allen,709,189,7,2,0,36,47,24.9,3
Marion Butts,703,243,8,1,0,26,38,15.6,1
Ricky Ervins,650,185,3,2,1,49,29,15.7,1
Gary Brown,648,169,4,0,0,18,33,19.5,6
Edgar Bennett,623,178,5,3,0,39,39,21.9,1
Leonard Russell,620,190,9,5,0,22,43,22.6,2
Mario Bates,579,151,6,3,1,40,31,20.5,3
Reggie Cobb,579,153,3,1,0,30,30,19.6,1
Greg Hill,574,141,1,1,0,20,22,15.6,1
Herschel Walker,528,113,5,1,1,91,22,19.5,4
Derek Brown,489,146,3,0,0,16,28,19.2,4
Derrick Fenner,468,141,1,1,0,21,19,13.5,6
Raymont Harris,464,123,1,0,0,13,25,20.3,1
Steve Broussard,403,94,2,2,0,37,18,19.2,4
Charlie Garner,399,109,3,3,0,28,24,22,3
Kenneth Davis,381,91,2,2,1,60,15,16.5,2
Erric Pegram,358,103,1,1,0,25,15,14.6,2
Larry Centers,336,115,5,0,0,17,20,17.4,2
Roosevelt Potts,336,77,1,2,1,52,22,28.6,4
Eric Metcalf,329,93,2,1,0,37,12,12.9,1
Vaughn Hebron,325,82,2,0,0,19,19,23.2,0
John L. Williams,317,68,1,1,0,23,23,33.8,0
Irving Spikes,312,70,2,2,1,40,19,27.1,1
Leroy Thompson,312,102,2,0,0,13,13,12.8,1
Brian Mitchell,311,78,0,1,0,33,19,24.4,0
William Floyd,305,87,6,2,0,26,22,25.3,0
Dave Meggett,298,91,4,2,0,26,20,22,2
Reggie Brooks,297,100,2,0,0,15,19,19,3
Eric Bieniemy,295,73,0,3,0,36,10,13.7,1
Steve Young,293,58,7,3,0,27,27,46.6,3
Vince Workman,291,79,0,0,0,18,13,16.5,2
Randall Cunningham,288,65,3,3,0,22,25,38.5,4
John Elway,235,58,4,1,0,22,17,29.3,3
Terry Kirby,233,60,2,1,0,30,16,26.7,2
Kimble Anders,231,62,2,0,0,19,14,22.6,0
Harold Green,223,76,1,1,0,22,17,22.4,1
Jim Harbaugh,223,39,0,3,1,41,11,28.2,0
Earnest Byner,219,75,2,0,0,15,11,14.7,0
Bucky Richardson,217,30,1,0,0,18,16,53.3,3
Richie Anderson,207,43,1,3,1,55,10,23.3,1
Scottie Graham,207,64,2,0,0,11,14,21.9,0
Jeff Blake,204,37,1,0,0,16,14,37.8,4
James Joseph,203,60,1,1,0,34,13,21.7,1
Brett Favre,202,42,2,3,0,36,14,33.3,1
Glyn Milburn,201,58,1,1,0,20,10,17.2,1
Dave Brown,196,60,2,1,0,21,17,28.3,6
Mark Higgs,195,62,0,1,0,21,10,16.1,1
Lincoln Coleman,180,64,1,0,0,13,11,17.2,2
Donnell Bennett,178,46,2,0,0,17,9,19.6,2
Brad Baxter,170,60,4,0,0,13,14,23.3,0
Garrison Hearst,169,37,1,1,0,36,10,27,0
