Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Patriots,215,72,16,6,86,20.4,1009
Vikings,215,78,15,7,65,18.3,988
Eagles,214,78,9,4,94,20.9,981
Chiefs,212,80,14,8,93,20.8,988
Bears,218,81,17,8,100,23.2,982
Packers,222,79,18,9,82,21.5,1023
Broncos,217,86,10,3,103,23.8,1023
Steelers,225,72,19,11,76,18,1008
Seahawks,224,83,20,8,122,23.9,1077
Cardinals,187,52,10,4,71,17.4,909
Chargers,210,77,25,13,89,23.1,1005
Giants,209,86,13,5,92,20.6,973
Dolphins,197,76,22,8,85,21.6,1000
Bills,217,91,18,12,82,18.3,1007
Jets,208,83,24,12,105,22.7,1014
Oilers,219,80,10,3,112,20.7,971
Cowboys,229,91,17,8,86,19.7,1006
Raiders,233,90,24,15,94,21.2,1046
Bengals,231,92,8,4,126,24.4,1050
Browns,242,83,18,7,98,21.1,1090
49ers,221,87,19,11,82,21.9,996
Redskins,223,87,10,5,129,23.2,1080
Falcons,205,84,20,9,107,25.1,1038
Rams,221,101,11,5,103,20.8,1063
Buccaneers,214,94,12,4,100,21.4,986
Saints,210,91,19,11,106,23.1,1054
Colts,251,115,23,13,98,21.2,1090
Lions,231,112,20,10,131,25.6,1086
