Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Cowboys,437,1561,3.6,8,86,19.7
Steelers,421,1452,3.4,7,76,18
Giants,447,1728,3.9,11,92,20.6
Colts,463,1646,3.6,8,98,21.2
49ers,375,1338,3.6,16,82,21.9
Bears,432,1922,4.4,10,100,23.2
Bills,447,1515,3.4,10,82,18.3
Chargers,385,1404,3.6,11,89,23.1
Cardinals,409,1370,3.4,7,71,17.4
Seahawks,511,1952,3.8,15,122,23.9
Patriots,422,1760,4.2,11,86,20.4
Chiefs,446,1734,3.9,11,93,20.8
Browns,465,1669,3.6,9,98,21.1
Dolphins,394,1430,3.6,14,85,21.6
Eagles,449,1616,3.6,11,94,20.9
Broncos,432,1752,4.1,12,103,23.8
Buccaneers,468,1964,4.2,13,100,21.4
Raiders,444,1543,3.5,11,94,21.2
Vikings,355,1090,3.1,9,65,18.3
Packers,381,1363,3.6,9,82,21.5
Oilers,540,2120,3.9,17,112,20.7
Jets,463,1809,3.9,17,105,22.7
Redskins,556,1975,3.6,24,129,23.2
Lions,511,1859,3.6,15,131,25.6
Bengals,517,1906,3.7,16,126,24.4
Rams,496,1781,3.6,12,103,20.8
Saints,458,1758,3.8,10,106,23.1
Falcons,426,1693,4,16,107,25.1
