Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Vikings,34,39,87.2,0_0,13_13,13_12,10_8,0_0,0_0,51,0
Chargers,34,38,89.5,0_0,12_12,15_15,9_5,0_0,0_0,50,0
Broncos,30,37,81.1,0_0,11_11,11_11,12_7,0_0,0_0,54,1
Bengals,28,33,84.8,1_1,8_8,10_8,10_9,0_0,0_0,54,0
Saints,28,39,71.8,0_0,9_9,14_11,10_8,0_0,0_0,48,3
Patriots,27,35,77.1,0_0,14_14,12_9,9_4,0_0,0_0,48,0
Browns,26,28,92.9,1_1,7_7,11_10,8_8,0_0,0_0,45,0
Chiefs,25,30,83.3,3_3,17_15,6_4,4_3,0_0,0_0,49,1
Bills,24,28,85.7,0_0,12_11,7_6,7_5,0_0,0_0,52,1
Dolphins,24,31,77.4,1_1,8_8,10_6,10_8,0_0,0_0,50,0
Steelers,24,29,82.8,1_1,8_7,9_8,9_7,0_0,0_0,50,0
Buccaneers,23,35,65.7,0_0,8_8,12_10,10_4,0_0,0_0,53,1
Cowboys,22,29,75.9,3_3,4_3,12_10,9_6,0_0,0_0,47,2
Raiders,22,28,78.6,1_1,5_5,9_6,11_8,0_0,0_0,51,1
Giants,22,28,78.6,3_3,6_6,12_9,6_3,0_0,0_0,52,1
Cardinals,22,30,73.3,0_0,12_11,5_4,9_6,0_0,0_0,51,0
Falcons,21,25,84,0_0,9_9,7_7,4_4,0_0,0_0,50,1
Bears,21,29,72.4,1_1,7_7,9_6,8_5,0_0,0_0,52,1
Eagles,21,25,84,1_1,8_8,10_10,6_2,0_0,0_0,42,0
Jets,20,23,87,0_0,8_8,7_6,8_6,0_0,0_0,49,0
Seahawks,20,24,83.3,1_1,1_1,11_11,9_6,0_0,0_0,50,0
Redskins,20,28,71.4,0_0,11_9,6_5,8_5,0_0,0_0,54,1
Packers,19,26,73.1,1_1,11_11,6_4,5_2,0_0,0_0,50,1
Lions,18,27,66.7,0_0,7_6,7_7,8_5,0_0,0_0,49,2
Rams,18,23,78.3,2_2,9_9,7_6,5_1,0_0,0_0,47,2
Oilers,16,20,80,0_0,5_4,4_4,8_7,0_0,0_0,50,0
Colts,16,24,66.7,1_1,5_5,7_3,9_5,0_0,0_0,50,3
49ers,15,20,75,1_1,4_4,6_5,8_5,0_0,0_0,48,0
