Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Deion Sanders,54,1,54,0,1,1,43,1,0
Chris Thomas,25,1,25,0,1,0,25,0,0
Johnny Bailey,21,2,42,0,2,0,22,0,0
Derrick Alexander,13.6,9,122,1,1,1,69,0,1
Earnest Hunter,13.3,3,40,0,0,0,17,0,0
David Palmer,13.2,26,342,1,6,2,74,13,1
Brian Mitchell,12.6,25,315,1,4,2,59,15,1
Kelvin Martin,12.6,17,214,0,3,0,38,10,1
Steve Tasker,12,17,204,0,3,1,44,7,0
Andre Coleman,11.6,28,326,1,6,1,88,14,7
Jeff Burris,11.4,20,229,0,2,1,40,1,0
Glyn Milburn,11.4,31,354,0,5,1,44,17,1
Eric Guliford,11,43,475,1,3,1,62,22,0
Tamarick Vanover,10.6,51,540,1,5,1,86,4,1
Jeff Sydner,10.5,17,178,0,1,0,22,9,0
Dexter Carter,10.3,30,309,1,5,1,78,15,4
Desmond Howard,10.2,24,246,0,3,1,40,8,0
Bryan Reeves,10.2,4,41,0,0,0,14,0,0
Charles Jordan,10.1,21,213,0,0,0,18,2,1
Tim Brown,10.1,36,364,0,3,0,38,9,0
Bobby Joe Edmonds,10.1,29,293,0,3,1,45,10,0
Mel Gray,10.1,30,303,0,1,0,20,20,3
Joey Galloway,10,36,360,1,3,1,89,12,0
Daryl Hobbs,10,1,10,0,0,0,10,0,0
Amp Lee,10,5,50,0,0,0,17,1,0
Brett Perriman,10,5,50,0,0,0,13,6,0
Mike Prior,10,1,10,0,0,0,10,2,0
Andre Hastings,9.9,48,474,1,4,3,72,8,1
Eric Metcalf,9.8,39,383,1,5,1,66,14,4
Willie Clay,9.8,5,49,0,1,0,28,5,0
Tyrone Hughes,9.4,28,262,0,3,1,74,22,2
Kevin R. Williams,9.2,18,166,0,2,0,30,15,1
Clayton Holmes,8.8,4,35,0,0,0,13,1,0
Dave Meggett,8.5,45,383,0,3,0,23,17,2
Arthur Marshall,8,12,96,0,1,0,21,7,1
Jeff Graham,8,23,183,0,1,0,39,14,2
Antonio Freeman,7.9,37,292,0,4,0,26,3,6
Todd Kinchen,7.8,53,416,0,3,0,27,7,4
Ronnie Harris,7.7,3,23,0,0,0,10,0,0
Thomas Lewis,7.7,6,46,0,0,0,14,0,1
Anthony Edwards,7.3,18,131,0,0,0,16,11,0
Travis Hannah,7.2,5,36,0,0,0,11,1,0
Keenan McCardell,7.2,13,93,0,0,0,17,14,0
Ray Buchanan,7.1,16,113,0,0,0,17,4,1
Johnnie Morton,6.9,7,48,0,0,0,16,4,1
O.J. McDuffie,6.8,24,163,0,1,0,24,12,2
Eric Bieniemy,6.7,7,47,0,0,0,10,1,0
Rob Carpenter,6.6,12,79,0,2,0,22,6,1
Vernon Turner,6.5,6,39,0,0,0,16,1,1
Corey Sawyer,6.4,9,58,0,1,0,21,8,1
Gary Harrell,6.3,12,76,0,0,0,17,3,0
Ben Bronson,6.1,13,79,0,1,0,32,6,2
Tyrone Legette,6,1,6,0,0,0,6,0,0
Bill Brooks,5.8,6,35,0,0,0,15,2,0
Charles Mincy,5.5,4,22,0,0,0,8,0,0
Nate Singleton,5.4,5,27,0,0,0,19,1,1
John Taylor,5.1,11,56,0,0,0,11,9,1
Mark Carrier,4.2,6,25,0,0,0,9,1,0
Russell Copeland,4,2,8,0,0,0,7,1,1
Terrell Fletcher,4,3,12,0,0,0,11,1,1
Anthony Carter,3,1,3,0,0,0,3,1,0
Danan Hughes,3,3,9,0,0,0,8,1,0
Chris Penn,3,4,12,0,0,0,5,2,0
Cedric Tillman,3,2,6,0,0,0,9,0,1
Eugene Robinson,1,1,1,0,0,0,1,1,0
Marcus Dowdell,0,1,0,0,0,0,0,0,1
Doug Evans,0,1,0,0,0,0,0,0,1
Merton Hanks,0,1,0,0,0,0,0,0,0
Mark Ingram,0,1,0,0,0,0,0,0,1
Yonel Jourdain,0,1,0,0,0,0,0,0,0
Damon Thomas,0,1,0,0,0,0,0,0,1
Scott Turner,0,1,0,0,0,0,0,0,1
Rodney Young,0,1,0,0,0,0,0,0,1
Carl Pickens,-0.4,5,-2,0,0,0,4,2,0
Willie Jackson,-2,1,-2,0,0,0,-2,0,1
Ernest Givins,-3.5,2,-7,0,0,0,-1,0,1
Dennis Lundy,-4,1,-4,0,0,0,-4,0,1
