Team,INT,INT TD,INT Yds,Lng
Giants,27,4,503,95
Rams,25,1,281,75T
49ers,25,1,366,55T
Packers,21,3,329,77
Chiefs,21,4,432,87
Steelers,20,0,253,42
Patriots,19,4,366,100
Falcons,18,0,114,31
Broncos,18,5,319,62
Jets,18,4,379,51
Ravens,17,1,241,43T
Lions,17,3,309,66
Saints,16,0,194,39
Redskins,16,3,222,83
Bills,15,0,157,28
Cardinals,15,3,231,66
Chargers,15,3,257,75
Oilers,14,2,328,48
Jaguars,14,0,145,32
Eagles,14,1,186,64T
Bears,13,0,60,14
Bengals,13,0,183,37
Seahawks,13,1,196,44T
Buccaneers,13,0,95,28
Colts,12,2,234,50
Vikings,12,0,141,27
Panthers,11,0,72,18
Raiders,10,1,149,44T
Dolphins,10,0,92,23
Cowboys,7,1,130,50T
