Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Brett Favre,4212,7.6,551,347,63,31,23,87.8,203,36.8,47,9,84,38,223
Steve Young,4170,8.1,517,322,62.3,36,12,101.1,206,39.8,55,13,81,48,234
Peyton Manning,3739,6.5,575,326,56.7,26,28,71.2,190,33,42,8,78,22,109
Jake Plummer,3737,6.8,547,324,59.2,17,20,75,177,32.4,48,6,57,49,280
Randall Cunningham,3704,8.7,425,259,60.9,34,10,106,165,38.8,55,19,67,20,132
Drew Bledsoe,3633,7.6,481,263,54.7,20,14,80.8,166,34.5,50,15,86,36,295
Dan Marino,3497,6.5,537,310,57.7,23,15,80,173,32.2,45,6,61,23,178
Trent Green,3441,6.8,509,278,54.6,23,11,81.8,172,33.8,40,7,75,49,338
Vinny Testaverde,3256,7.7,421,259,61.5,29,7,101.6,170,40.4,42,6,82,19,140
Steve McNair,3228,6.6,492,289,58.7,15,10,80.1,160,32.5,41,3,47,33,176
Chris Chandler,3154,9.6,327,190,58.1,25,12,100.9,144,44,51,11,78,45,283
John Elway,2806,7.9,356,210,59,22,10,93,139,39,34,6,58,18,135
Trent Dilfer,2729,6.4,429,225,52.4,21,15,74,136,31.7,29,10,79,27,172
Doug Flutie,2711,7.7,354,202,57.1,20,11,87.4,136,38.4,36,8,84,12,78
Steve Beuerlein,2613,7.6,343,216,63,17,12,88.2,124,36.2,31,7,68,44,251
Mark Brunell,2601,7.4,354,208,58.8,20,9,89.9,125,35.3,35,8,78,28,172
Kordell Stewart,2560,5.6,458,252,55,11,18,62.8,125,27.3,25,4,55,33,211
Tony Banks,2535,6.2,408,241,59.1,7,14,68.6,119,29.2,25,4,80,41,237
Troy Aikman,2330,7.4,315,187,59.4,12,5,88.5,109,34.6,28,8,67,9,58
Rich Gannon,2305,6.5,354,206,58.2,10,6,80.1,104,29.4,23,4,80,25,155
Neil O'Donnell,2216,6.5,343,212,61.8,15,4,90.2,94,27.4,24,8,76,30,217
Kerry Collins,2213,6.3,353,170,48.2,12,15,62,104,29.5,26,6,89,31,191
Charlie Batch,2178,7.2,303,173,57.1,11,6,83.5,98,32.3,31,5,98,37,222
Jim Harbaugh,1839,6.3,293,164,56,12,11,72.9,86,29.4,20,7,66,23,145
Erik Kramer,1823,7.3,250,151,60.4,9,7,83.1,80,32,21,5,79,10,71
Craig Whelihan,1803,5.6,320,149,46.6,8,19,48,81,25.3,21,4,55,15,111
Donald Hollas,1754,6.8,260,135,51.9,10,16,60.6,81,31.2,26,1,47,36,207
Warren Moon,1632,6.3,258,145,56.2,11,8,76.6,79,30.6,22,3,45,22,140
Danny Kanell,1603,5.4,299,160,53.5,11,10,67.3,72,24.1,20,2,46,22,172
Billy Joe Tolliver,1427,7.2,199,110,55.3,8,4,83,64,32.2,16,6,82,11,88
Eric Zeier,1312,7.2,181,107,59.1,4,3,82,54,29.8,16,5,73,18,138
Ryan Leaf,1289,5.3,245,111,45.3,2,15,39,64,26.1,11,3,67,22,140
Steve Stenstrom,1252,6.4,196,112,57.1,4,6,70.4,63,32.1,14,3,48,19,137
Kent Graham,1219,6,205,105,51.2,7,5,70.8,57,27.8,16,4,87,12,75
Jason Garrett,1206,7.6,158,91,57.6,5,3,84.5,45,28.5,18,5,80,10,52
Jeff George,1186,7,169,93,55,4,5,72.7,52,30.8,19,3,75,22,162
Jon Kitna,1177,6.8,172,98,57,7,8,72.3,50,29.1,8,4,70,11,72
Elvis Grbac,1142,6.1,188,98,52.1,5,12,53.1,48,25.5,19,1,65,11,57
Koy Detmer,1011,5.6,181,97,53.6,5,5,67.7,45,24.9,12,3,61,5,29
Bubby Brister,986,7.5,131,78,59.5,10,3,99,46,35.1,14,2,48,7,49
Bobby Hoying,961,4.3,224,114,50.9,0,9,45.6,52,23.2,9,0,38,35,185
Rob Johnson,910,8.5,107,67,62.6,8,3,102.9,40,37.4,12,4,66,29,163
Steve Bono,807,5.9,136,69,50.7,5,4,69.1,43,31.6,12,4,47,6,57
Frank Reich,768,7,110,63,57.3,5,4,78.9,36,32.7,11,1,41,4,18
Rodney Peete,758,5.9,129,71,55,2,4,64.7,44,34.1,5,0,25,16,103
Glenn Foley,749,6.9,108,58,53.7,4,6,64.9,36,33.3,12,2,48,5,49
Brad Johnson,747,7.4,101,65,64.4,7,5,89,42,41.6,7,2,48,4,30
Jeff Blake,739,8,93,51,54.8,3,3,78.2,29,31.2,9,4,67,15,79
Danny Wuerffel,695,5.8,119,62,52.1,5,5,66.3,35,29.4,8,2,64,23,131
Wade Wilson,568,6.4,88,52,59.1,7,4,85.8,22,25,5,2,68,9,77
Scott Mitchell,452,6,75,38,50.7,1,3,57.2,26,34.7,4,1,44,4,28
Paul Justin,426,6.8,63,34,54,1,3,60.7,18,28.6,8,1,41,7,60
John Friesz,409,8.4,49,29,59.2,2,2,82.8,14,28.6,3,3,81,1,7
Jonathan Quinn,387,6,64,34,53.1,2,3,62.4,16,25,3,2,64,9,49
Scott Zolak,371,5,75,32,42.7,3,3,54.9,18,24,5,2,61,4,49
Steve DeBerg,369,6.2,59,30,50.8,3,1,80.4,19,32.2,5,0,35,6,60
Jamie Martin,355,7.9,45,27,60,2,0,99.8,12,26.7,6,1,67,2,10
Ty Detmer,312,8.2,38,24,63.2,4,3,91.1,16,42.1,4,0,36,5,20
Gus Frerotte,283,5.2,54,25,46.3,1,3,45.5,14,25.9,2,0,22,12,61
Mike Tomczak,204,6.8,30,21,70,2,2,83.2,9,30,2,1,42,2,18
Tony Graziani,199,6,33,16,48.5,0,2,42.4,11,33.3,3,0,32,2,15
Dave Krieg,199,9.5,21,12,57.1,0,0,89.2,7,33.3,2,2,55,2,15
Billy Joe Hobert,170,7.4,23,11,47.8,1,0,87.2,8,34.8,3,0,35,2,17
Moses Moreno,166,3.9,43,19,44.2,1,0,62.7,9,20.9,1,0,21,2,16
Eric Kresser,164,7.8,21,10,47.6,1,2,50.6,7,33.3,3,0,37,0,0
Doug Pederson,128,5.3,24,14,58.3,2,0,100.7,7,29.2,1,0,29,1,7
Damon Huard,85,9.4,9,6,66.7,0,1,57.4,3,33.3,1,0,24,1,9
Steve Walsh,58,3,19,9,47.4,0,3,14.7,3,15.8,0,0,12,1,9
Jay Fiedler,41,5.9,7,3,42.9,0,1,22.6,3,42.9,0,0,19,0,0
Kurt Warner,39,3.6,11,4,36.4,0,0,47.2,2,18.2,1,0,21,0,0
Dave Brown,31,6.2,5,2,40,0,0,61.2,2,40,0,0,19,1,6
Terry Kirby,28,28,1,1,100,1,0,158.3,1,100,1,0,28,0,0
Ray Lucas,27,9,3,1,33.3,0,0,67.4,1,33.3,1,0,27,0,0
Harvey Williams,27,27,1,1,100,0,0,118.8,1,100,1,0,27,0,0
Danan Hughes,25,25,1,1,100,0,0,118.8,1,100,1,0,25,0,0
Steve Matthews,24,8,3,2,66.7,0,0,91,2,66.7,0,0,13,0,0
Terrell Fletcher,23,23,1,1,100,1,0,158.3,1,100,1,0,23,0,0
Tim Dwight,22,11,2,1,50,0,0,89.6,1,50,1,0,22,0,0
Lamar Smith,20,10,2,1,50,1,0,125,1,50,1,0,20,0,0
Mike Archie,18,9,2,1,50,1,0,120.8,1,50,0,0,18,0,0
Edgar Bennett,18,9,2,1,50,1,0,120.8,1,50,0,0,18,0,0
Mike Horan,18,9,2,1,50,1,0,120.8,1,50,0,0,18,0,0
Hines Ward,17,17,1,1,100,0,0,118.8,1,100,0,0,17,0,0
Rod Smith,14,14,1,1,100,0,0,118.8,1,100,0,0,14,0,0
Craig Hentrich,13,13,1,1,100,0,0,118.8,1,100,0,0,13,0,0
Mike Quinn,10,10,1,1,100,0,0,108.3,0,0,0,0,10,0,0
Brian Griese,2,0.7,3,1,33.3,0,1,2.8,0,0,0,0,2,0,0
Wally Richardson,1,0.5,2,1,50,0,0,56.2,0,0,0,0,1,0,0
Ricky Watters,1,1,1,1,100,1,0,118.8,1,100,0,0,1,0,0
Mike Alstott,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Jamal Anderson,0,0,2,0,0,0,0,39.6,0,0,0,0,0,0,0
Mike Cherry,0,0,1,0,0,0,0,39.6,0,0,0,0,0,1,9
Curtis Conway,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Aaron Craver,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Corey Dillon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
William Floyd,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Priest Holmes,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
John Jett,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Leon Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Tony Martin,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Brad Maynard,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Brian Mitchell,0,0,2,1,50,0,0,56.2,0,0,0,0,0,0,0
David Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Doug Pelfrey,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Torrance Small,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Amani Toomer,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Rick Tuten,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Ken Walter,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Leo Araguz,-1,-1,1,1,100,0,0,79.2,0,0,0,0,-1,0,0
