Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Colts,461,275,59.6,7.1,3266,27,8,181,39.3,38
Packers,540,296,54.8,5.7,3065,23,13,166,30.7,50
Chargers,530,271,51.1,5.8,3068,21,20,149,28.1,39
Redskins,493,281,57,5.9,2918,21,13,152,30.8,33
Rams,475,256,53.9,6,2831,28,16,161,33.9,50
Patriots,570,336,59,6.4,3635,26,24,208,36.5,36
49ers,566,294,51.9,6.6,3733,25,21,178,31.4,51
Cardinals,518,299,57.7,6.3,3276,21,20,177,34.2,39
Dolphins,504,252,50,5.8,2924,17,29,148,29.4,45
Chiefs,479,259,54.1,6.2,2985,17,13,146,30.5,40
Saints,539,328,60.8,7.4,3968,24,21,208,38.6,47
Eagles,449,249,55.5,6.1,2720,18,9,133,29.6,42
Vikings,555,320,57.7,6.2,3452,17,19,171,30.8,38
Jets,544,285,52.4,5.6,3040,16,21,150,27.6,36
Bengals,406,233,57.4,7.8,3151,23,13,152,37.4,28
Oilers,511,319,62.4,6.9,3511,24,12,170,33.3,30
Raiders,497,291,58.6,5.8,2876,22,21,150,30.2,41
Panthers,501,298,59.5,7.4,3709,30,19,197,39.3,37
Giants,521,282,54.1,6.1,3167,17,19,163,31.3,54
Bears,456,292,64,7.1,3228,27,14,155,34,28
Broncos,596,345,57.9,6.1,3648,28,19,183,30.7,47
Lions,474,284,59.9,6.4,3015,23,12,167,35.2,43
Steelers,482,268,55.6,6.9,3321,17,16,155,32.2,41
Seahawks,597,343,57.4,6.2,3690,18,24,197,33,53
Ravens,539,316,58.6,6.7,3592,20,17,180,33.4,39
Cowboys,553,290,52.4,6.4,3545,21,14,162,29.3,34
Jaguars,577,325,56.3,6.2,3559,23,13,178,30.8,30
Bills,532,294,55.3,6,3198,27,18,168,31.6,43
Buccaneers,473,274,57.9,5.8,2762,15,12,148,31.3,37
Falcons,551,311,56.4,6.4,3531,22,19,172,31.2,38
