Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Packers,25.8,60,1547,2,38,5,101T,0,2
Falcons,25.2,46,1157,1,36,1,93T,1,2
Lions,25,68,1700,2,39,6,105T,0,1
Ravens,24.6,69,1700,2,41,8,97,0,4
Dolphins,24.5,53,1297,0,40,3,55,0,1
Bears,24.2,66,1595,2,35,6,94T,0,2
Broncos,24.2,58,1402,1,36,4,95T,0,1
Panthers,24.1,76,1834,1,51,6,99T,0,1
Bengals,23.8,72,1710,1,46,5,97T,0,3
Buccaneers,23.7,59,1399,0,38,4,60,0,1
Seahawks,23.6,64,1510,1,35,5,90T,0,1
Cowboys,23.4,51,1191,0,32,2,42,0,3
Vikings,22.9,54,1238,1,32,3,88T,0,2
Eagles,22.7,60,1363,0,36,2,54,0,1
Jets,22.5,57,1285,0,35,2,62,0,1
Jaguars,22.4,61,1366,0,31,5,91,0,1
Saints,21.8,62,1354,1,35,1,100T,0,4
Rams,21.6,68,1472,1,33,2,102T,0,1
Redskins,21.6,70,1512,1,27,5,101T,0,1
Patriots,21.4,62,1330,0,35,4,68,0,2
Chiefs,20.9,63,1319,0,38,1,62,2,3
Bills,20.9,56,1168,0,29,1,46,0,1
Cardinals,20.9,63,1314,0,32,5,59,0,1
Oilers,20.5,56,1148,0,32,1,50,0,2
Steelers,20.2,55,1112,0,28,3,44,0,3
Colts,20.2,71,1432,0,36,1,44,0,1
Raiders,19.5,62,1208,0,31,1,42,0,3
Giants,19.5,66,1286,1,28,3,90T,0,1
49ers,18.8,59,1108,0,27,1,45,1,1
Chargers,18.5,70,1293,0,29,0,36,0,4
