Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bears,3263,1210,354,147,203,50.2,82,20.7,1118
Chiefs,3258,1290,141,77,164,55.6,108,20.7,1049
Chargers,3220,1179,185,80,171,51.5,69,16.8,1039
Dolphins,3188,1084,187,108,188,57.1,81,18.2,1071
Jaguars,3176,1271,138,70,194,60.6,116,22.6,1085
Eagles,3174,982,120,79,123,52.3,76,17.9,947
Steelers,3138,1211,319,94,159,52.8,111,22.4,1067
Giants,3113,1132,248,157,197,56.3,87,20.2,1075
Bills,3094,1271,284,149,173,59.7,117,22.5,1059
Buccaneers,3092,1088,197,93,132,49.2,97,19.3,991
Bengals,3087,1229,300,91,161,53.7,111,25.1,1039
Ravens,3062,873,143,39,148,54.8,87,20.2,1033
Jets,3045,1057,331,144,139,51.1,111,22.8,999
Broncos,3043,1119,181,78,168,52.7,107,23,1053
Patriots,2998,1071,171,53,184,60.3,72,16.9,1021
Titans,2973,1139,162,95,167,54.9,109,23.8,1011
Cardinals,2948,960,225,55,150,52.3,77,19.4,999
Cowboys,2919,1030,224,80,139,47.1,129,26.2,1024
Raiders,2890,1142,107,94,196,64,110,22.5,1057
Lions,2851,1038,216,76,179,54.9,67,18.8,978
Packers,2783,1030,118,26,196,57,87,22.5,1027
Saints,2762,926,278,99,159,55.2,97,21,1055
Seahawks,2748,896,102,26,179,62.2,65,15.9,971
Redskins,2739,1043,238,119,183,56.5,121,26.1,1031
49ers,2685,910,302,104,172,53.1,102,24.4,1012
Panthers,2671,1025,266,136,208,60.3,78,21.9,982
Vikings,2653,1157,142,77,192,60.8,96,22.8,995
Browns,2637,766,166,114,134,49.4,64,20.4,865
Rams,2546,1196,107,67,207,60.4,102,23.7,994
Colts,2485,974,79,26,200,59.2,89,21.2,979
Falcons,2481,859,174,62,179,64.4,68,18.2,931
