Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
DeeJay Dallas,34,1,34,0,1,0,34,0,0
Ty Montgomery,31,2,62,0,1,1,43,0,0
Anthony McFarland,30.3,3,91,0,3,0,34,0,0
Marvin Mims Jr.,27.5,2,55,0,2,0,30,0,0
Keisean Nixon,27.5,2,55,0,2,0,28,0,0
Xavier Gipson,23,2,46,0,1,0,28,0,0
Deven Thompkins,23,1,23,0,1,0,23,0,0
Chris Evans,22.5,2,45,0,1,0,27,0,0
Rashid Shaheed,22,5,110,0,3,0,27,0,1
Antonio Gibson,21,1,21,0,1,0,21,0,0
Tyler Scott,21,4,84,0,2,0,33,0,0
Jamal Agnew,20,1,20,0,1,0,20,0,0
Dallis Flowers,19,1,19,0,0,0,19,0,0
Devin Duvernay,18,1,18,0,0,0,18,0,0
Colby Parkinson,16,1,16,0,0,0,16,0,0
Ty Chandler,15,1,15,0,0,0,15,0,0
Quez Watkins,11,1,11,0,0,0,11,0,0
Kyren Williams,8,1,8,0,0,0,8,0,0
