Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Rams,635,408,64.2,7.1,4480,24,27,79.9,219,34.5,56,7,58T,46,326
Raiders,619,418,67.5,7.6,4689,26,10,97.2,226,36.5,48,8,75T,36,214
Bills,612,377,61.6,7.1,4364,24,15,86,218,35.6,45,13,73T,54,369
Patriots,605,374,61.8,6.2,3767,28,14,85.3,184,30.4,37,3,49,31,190
Bengals,591,350,59.2,6.3,3732,17,22,71.8,186,31.5,32,5,72T,37,256
Colts,591,392,66.3,7.1,4200,27,19,88.8,213,36,51,11,69,23,145
Seahawks,587,361,61.5,7.2,4257,19,16,83,208,35.4,45,8,83,33,179
Packers,580,361,62.2,6.6,3823,29,16,86.6,197,34,42,7,85,27,196
Lions,577,277,48,5.5,3168,19,25,57.9,150,26,40,10,64,20,174
49ers,571,354,62,6.3,3576,23,10,86,182,31.9,32,7,76,22,119
Buccaneers,567,348,61.4,6.5,3665,23,10,86.3,172,30.3,37,6,76T,41,220
Redskins,559,300,53.7,6.3,3523,24,20,72.5,165,29.5,36,7,62,38,269
Vikings,558,337,60.4,7.1,3951,19,23,76.1,191,34.2,50,10,61T,49,266
Broncos,554,359,64.8,7.5,4139,21,20,84.8,199,35.9,43,10,82T,46,315
Browns,552,338,61.2,6.6,3665,27,22,80.5,171,31,47,10,78,35,253
Steelers,551,350,63.5,7.3,4036,26,22,84.6,200,36.3,51,8,72,34,204
Giants,549,338,61.6,7.5,4103,19,14,85.4,195,35.5,61,4,82T,24,152
Eagles,548,318,58,6.6,3606,27,11,85.9,164,29.9,49,7,59,36,222
Cardinals,548,291,53.1,5.5,3038,18,22,63.7,148,27,30,3,80T,41,298
Bears,543,310,57.1,6.1,3316,22,18,74.8,156,28.7,49,7,76,44,265
Saints,538,291,54.1,6.8,3685,27,15,80.8,169,31.4,48,13,64T,37,244
Chargers,538,324,60.2,6.3,3368,17,16,76.5,166,30.9,42,5,52T,24,180
Titans,500,306,61.2,6.9,3441,22,15,83.9,182,36.4,35,6,55,21,121
Jets,485,329,67.8,7.5,3619,25,10,98.3,190,39.2,44,3,47T,32,201
Falcons,479,268,56,7.1,3384,18,12,80.2,163,34,48,9,74T,36,217
Ravens,479,262,54.7,6.5,3118,20,14,76.5,145,30.3,40,5,77T,41,271
Chiefs,477,292,61.2,7.9,3763,27,13,93.5,179,37.5,47,13,99,26,141
Cowboys,471,252,53.5,6.4,3020,14,16,69.1,129,27.4,34,10,80,54,399
Panthers,464,255,55,6.4,2981,15,22,65.7,133,28.7,51,6,69T,44,287
Jaguars,462,268,58,6.5,3019,18,9,82.5,156,33.8,30,6,79,42,257
Dolphins,455,271,59.6,6.8,3069,18,15,79.3,155,34.1,38,5,77T,25,179
Texans,447,235,52.6,5.9,2636,11,15,64.7,119,26.6,32,5,81,76,411
