Team,Rsh TD,Rec TD,Tot TD,2-PT
Vikings,22,12,41,3
Colts,19,32,53,1
Chargers,19,22,46,0
Jaguars,18,28,49,1
Titans,17,9,28,0
Patriots,17,50,72,1
Giants,15,23,42,0
Buccaneers,15,18,35,0
Redskins,15,18,35,0
Cowboys,14,36,53,0
Dolphins,14,12,28,1
Saints,14,28,45,4
Browns,13,29,46,0
Lions,13,19,36,0
Packers,13,30,46,0
Texans,12,24,40,2
Eagles,12,24,38,0
Ravens,11,13,28,0
Raiders,11,17,30,0
Bengals,10,26,39,1
Broncos,10,21,32,0
Cardinals,9,32,49,0
Steelers,9,34,46,0
Seahawks,9,30,43,0
Bills,8,12,24,1
Bears,8,18,34,0
Niners,8,15,23,0
Falcons,7,18,25,0
Panthers,7,19,27,0
Chiefs,6,17,23,1
Jets,6,15,25,0
Rams,5,19,27,0
