Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Domenik Hixon,60,3,180,0,3,2,83,0,0
Jerricho Cotchery,54,1,54,0,1,1,54,0,0
Lance Moore,36,1,36,0,1,0,36,0,0
Reuben Droughns,34,1,34,0,1,0,34,0,0
Skyler Green,33.2,4,133,0,2,2,60,0,1
Charles Gordon,30.5,2,61,0,1,1,42,0,0
Chris Davis,29.8,4,119,0,4,0,33,0,0
Danieal Manning,29.7,36,1070,1,28,9,83,0,1
Ellis Hobbs,28.5,45,1281,1,33,7,95,0,1
Leodis McKelvin,28.2,52,1468,1,40,7,98,0,1
Chris Carr,28.1,35,984,0,31,5,52,0,0
Arnaz Battle,28,1,28,0,1,0,28,0,0
Clifton Smith,27.6,36,992,1,28,3,97,0,2
Felix Jones,27.1,16,434,1,11,2,98,0,0
Stephen Neal,27,1,27,0,1,0,27,0,0
Allen Rossum,26.8,47,1259,1,36,4,104,0,0
Eddie Royal,26.1,23,600,0,15,3,95,0,0
Andre Caldwell,26,13,338,0,9,1,43,0,0
Santana Moss,26,1,26,0,1,0,26,0,0
Wes Welker,26,1,26,0,1,0,26,0,0
Darren Sproles,26,53,1376,1,41,6,103,0,1
Jerious Norwood,25.7,51,1311,0,36,4,92,0,1
Leon Washington,25.6,48,1231,1,28,6,94,0,0
J.J. Arrington,25.6,36,923,1,27,3,93,0,0
Rock Cartwright,25.6,51,1307,0,38,4,87,0,0
Pierre Thomas,25.6,31,793,0,20,3,88,0,0
Josh Wilson,25.4,69,1753,0,45,8,61,0,3
Quintin Demps,25.3,52,1314,1,33,5,100,0,1
Josh Cribbs,25.2,44,1110,1,32,3,92,0,0
Darius Reynaud,25.1,8,201,0,4,2,49,0,0
Derek Stanley,24.8,25,620,0,20,1,75,0,0
Justin Miller,24.7,33,816,2,20,4,92,0,1
Kenneth Darby,24.7,7,173,0,5,0,32,0,0
Dantrell Savage,24.4,26,633,0,17,2,59,0,0
Glenn Holt,24.1,46,1110,0,28,5,60,0,1
Brian Witherspoon,24,52,1250,0,37,3,51,0,2
Gerard Lawson,24,3,72,0,2,1,43,0,0
Tom Zbikowski,24,2,48,0,2,0,26,0,0
Mark Jones,24,40,958,0,27,4,59,0,0
Courtney Roby,23.9,24,573,0,15,3,62,0,0
Maurice Hicks,23.8,29,690,0,20,0,38,0,1
Patrick Cobbs,23.6,8,189,0,4,1,60,0,0
Ryan Moats,23.6,9,212,0,6,0,32,0,0
Justin Forsett,23.4,18,422,0,17,0,32,0,0
Chester Taylor,23.4,10,234,0,7,0,37,0,0
Johnnie Lee Higgins,23.4,36,842,0,20,3,69,0,1
Dexter Jackson,23.4,14,327,0,9,1,45,0,1
Aveion Cason,23.3,32,746,0,24,1,46,0,1
Jonathan Stewart,23.3,15,349,0,10,0,38,0,0
Marcus Thomas,23.2,4,93,0,4,0,27,0,0
Gary Russell,23.2,16,371,0,8,1,43,0,0
Andre Davis,23.1,43,993,0,27,1,50,0,0
Michael Clayton,23,3,69,0,2,0,29,0,0
Ray Rice,23,7,161,0,6,0,30,0,0
Chad Simpson,22.9,15,344,0,8,1,46,0,0
Michael Robinson,22.5,6,135,0,4,0,34,0,0
Andre Hall,22.3,21,469,0,16,0,28,0,0
Ahmad Bradshaw,22.2,39,867,0,24,1,58,0,0
Davone Bess,22.2,14,311,0,8,0,32,0,1
Brandon Middleton,22.2,39,864,0,24,1,42,0,3
Adam Jones,22.1,7,155,0,3,1,41,0,1
Travis Minor,22.1,7,155,0,4,0,34,0,1
Kevin Robinson,22.1,19,420,0,13,0,36,0,2
Cliff Russell,22,2,44,0,1,0,25,0,0
Selvin Young,22,8,176,0,6,0,31,0,0
Devin Hester,21.9,31,679,0,20,2,51,0,1
Isaiah Stanback,21.8,10,218,0,6,1,58,0,0
Maurice Jones-Drew,21.6,13,281,0,9,0,33,0,0
Najeh Davenport,21.6,15,324,0,12,0,27,0,0
Pierre Garcon,21.6,22,475,0,13,0,39,0,0
Jacoby Jones,21.5,13,280,0,9,0,30,0,0
Miles Austin,21.5,29,624,0,19,0,36,0,1
Jamaal Charles,21.4,15,321,0,9,1,40,0,0
Will Blackmon,21,55,1157,0,32,1,45,0,0
Donnie Avery,21,1,21,0,1,0,21,0,0
T.J. Duckett,21,1,21,0,1,0,21,0,0
Derrick Ward,21,1,21,0,1,0,21,0,0
Troy Williamson,21,4,84,0,3,0,26,0,0
Yamon Figurs,21,29,608,0,17,0,39,0,1
Terrence McGee,20.7,3,62,0,1,0,27,0,0
Dante Hall,20.6,37,763,0,24,1,41,0,0
Maurice Leggett,20.6,5,103,0,2,0,30,0,1
Ted Ginn,20.5,32,657,0,19,1,41,0,0
Jim Leonhard,20.4,8,163,0,3,0,30,0,0
Syndric Steptoe,20.3,3,61,0,2,0,23,0,0
Chad Jackson,20.2,8,162,0,6,0,24,0,1
Sinorice Moss,20.2,8,162,0,5,0,27,0,0
Orlando Scandrick,20.2,4,81,0,2,0,25,0,0
Steve Breaston,20.2,33,667,0,18,0,38,0,0
Roscoe Parrish,20,2,40,0,1,0,25,0,0
B.J. Sams,20,9,180,0,3,0,36,0,0
Delanie Walker,19.8,13,257,0,6,0,35,0,1
Garrett Wolfe,19.6,5,98,0,2,0,33,0,0
Rashard Mendenhall,19.2,6,115,0,4,0,27,0,0
Jason McKie,19,2,38,0,1,0,20,0,0
Eric Weems,19,1,19,0,0,0,19,0,0
Jordy Nelson,18.9,11,208,0,5,2,45,0,0
Lavelle Hawkins,18.6,7,130,0,5,0,23,0,0
Mewelde Moore,18.5,10,185,0,5,0,24,0,0
Sammy Morris,18.5,2,37,0,1,0,24,0,0
Brian Clark,18,3,54,0,1,0,22,0,0
Daniel Coats,18,1,18,0,0,0,18,0,0
Kevin Faulk,18,2,36,0,1,0,25,0,0
Cletis Gordon,18,1,18,0,0,0,18,0,0
Jon McGraw,18,1,18,0,0,0,18,0,0
Corey McIntyre,18,1,18,0,0,0,18,0,0
R.W. McQuarters,18,1,18,0,0,0,18,0,0
Anthony Spencer,18,1,18,0,0,0,18,0,0
Carey Davis,17.7,6,106,0,2,0,24,0,1
Terrance Copper,17.5,2,35,0,0,0,18,0,0
Allen Barbre,17,1,17,0,0,0,17,0,0
Chris Johnson,17,1,17,0,0,0,17,0,0
Ovie Mughelli,17,1,17,0,0,0,17,0,0
Chad Mustard,17,1,17,0,0,0,17,0,0
Chris Taylor,17,1,17,0,0,0,17,0,0
James Thrash,17,1,17,0,0,0,17,0,0
Aundrae Allison,16.7,6,100,0,2,0,22,0,1
Peyton Hillis,16.2,4,65,0,2,0,25,0,0
Tyrone Carter,16,1,16,0,0,0,16,0,0
Will Franklin,16,1,16,0,0,0,16,0,0
Michael Griffin,16,2,32,0,1,0,28,0,0
Adrian Peterson,16,1,16,0,0,0,16,0,0
Mike Sellers,16,2,32,0,0,0,17,0,0
Craig Stevens,16,1,16,0,0,0,16,0,0
Kenny Watson,15.8,4,63,0,2,0,24,0,0
Naufahu Tahi,15.5,2,31,0,1,0,20,0,0
Fred Jackson,15.1,12,181,0,1,0,30,0,0
Jeremy Bridges,15,1,15,0,0,0,15,0,0
Mike Furrey,15,2,30,0,0,0,16,0,0
Montell Owens,15,2,30,0,1,0,20,0,0
Maurice Stovall,15,1,15,0,0,0,15,0,0
Jason Wright,15,1,15,0,0,0,15,0,0
Tyvon Branch,14.8,6,89,0,1,0,20,0,1
Luke Lawton,14.5,2,29,0,0,0,15,0,0
Greg Lewis,14.3,3,43,0,1,0,31,0,0
Matthew Slater,14.1,11,155,0,3,0,31,0,2
Correll Buckhalter,14,1,14,0,0,0,14,0,0
Michael Bush,14,1,14,0,0,0,14,0,0
John Greco,14,1,14,0,0,0,14,0,0
Jacob Hester,14,3,42,0,1,0,20,0,0
Brandon London,14,2,28,0,0,0,17,0,0
Ike Ndukwe,14,1,14,0,0,0,14,0,0
Tutan Reyes,14,1,14,0,0,0,14,0,0
Sean Ryan,14,2,28,0,0,0,14,0,0
Herb Taylor,14,1,14,0,0,0,14,0,0
Casey Fitzsimmons,13.7,3,41,0,0,0,16,0,0
Billy Bajema,13.5,2,27,0,0,0,14,0,0
Spencer Johnson,13.3,3,40,0,0,0,19,0,0
Jason Avant,13,1,13,0,0,0,13,0,0
Kellen Davis,13,1,13,0,0,0,13,0,0
James Johnson,13,1,13,0,0,0,13,0,0
Jarret Johnson,13,1,13,0,0,0,13,0,0
Dante Rosario,13,2,26,0,0,0,18,0,0
Corey Smith,13,2,26,0,0,0,17,0,0
Antonio Cromartie,12.3,3,37,0,1,0,26,0,2
Darnell Dinkins,12.3,3,37,0,0,0,14,0,0
Mark Clayton,12,1,12,0,0,0,12,0,0
John Gilmore,12,1,12,0,0,0,12,0,0
Brad Hoover,12,1,12,0,0,0,12,0,0
DeSean Jackson,12,1,12,0,0,0,12,0,0
Jeff King,12,1,12,0,0,0,12,0,0
Dan Klecko,12,1,12,0,0,0,12,0,0
Jimmy Kleinsasser,12,3,36,0,0,0,14,0,0
Darrell Reid,12,1,12,0,0,0,12,0,0
Harry Douglas,11.5,4,46,0,1,0,22,0,0
Sean Morey,11.5,2,23,0,0,0,15,0,0
Vonta Leach,11.3,3,34,0,0,0,15,0,0
Patrick Crayton,11,1,11,0,0,0,11,0,0
Keyunta Dawson,11,1,11,0,0,0,11,0,0
Adrian Peterson,11,1,11,0,0,0,11,0,0
Jacob Tamme,11,1,11,0,0,0,11,0,0
Jonathan Wade,11,1,11,0,0,0,11,0,0
Ahmard Hall,10.5,2,21,0,0,0,13,0,0
Charles Ali,10,1,10,0,0,0,10,0,0
Rashied Davis,10,1,10,0,0,0,10,0,0
Ben Wilkerson,10,1,10,0,0,0,10,0,0
Brad Smith,9.8,4,39,0,1,0,26,0,1
Greg Jones,9.5,2,19,0,0,0,10,0,0
Kentwan Balmer,9.4,5,47,0,0,0,14,0,0
David Bowens,9.2,4,37,0,0,0,14,0,1
Deon Anderson,9,1,9,0,0,0,9,0,0
John Engelberger,9,1,9,0,0,0,9,1,0
Greyson Gunheim,9,1,9,0,0,0,9,0,0
Dustin Keller,9,1,9,0,0,0,9,0,0
Robert Meachem,9,1,9,0,0,0,9,0,0
Robert Turner,9,1,9,0,0,0,9,0,0
Alex Smith,8.5,2,17,0,0,0,17,0,0
Tatum Bell,8,1,8,0,0,0,8,0,0
Calais Campbell,8,2,16,0,0,0,16,1,1
Buck Ortega,8,1,8,0,0,0,8,0,0
Jerome Simpson,8,1,8,0,0,0,8,0,0
Brad Cieslak,7,1,7,0,0,0,7,0,0
Shaun Cody,7,1,7,0,0,0,7,0,0
Jason Hunter,7,1,7,0,0,0,7,0,0
Brandon Manumaleuna,7,2,14,0,0,0,9,0,0
Cecil Sapp,7,1,7,0,0,0,7,0,0
Chris White,7,1,7,0,0,0,7,0,0
George Wilson,7,1,7,0,0,0,7,0,0
Bubba Franks,6,1,6,0,0,0,6,0,0
Brian Finneran,5,1,5,0,0,0,5,0,0
Aaron Stecker,5,2,10,0,0,0,10,0,0
Tony Curtis,4,1,4,0,0,0,4,0,0
Dane Looker,4,1,4,0,0,0,4,0,0
Mike Cox,3.7,3,11,0,0,0,8,0,0
Victor Abiamiri,3,1,3,0,0,0,3,0,0
Marvin Harrison,3,1,3,0,0,0,3,0,0
Matt Spaeth,3,1,3,0,0,0,3,1,0
Lorenzo Neal,2,1,2,0,0,0,2,0,0
Leon Hall,1,1,1,0,0,0,1,0,0
Darcy Johnson,1,2,2,0,0,0,2,0,1
Jerheme Urban,0.5,2,1,0,0,0,1,0,0
Mark Campbell,0,1,0,0,0,0,0,0,0
Anthony Fasano,0,1,0,0,0,0,0,0,0
Steve Johnson,0,1,0,0,0,0,0,0,0
Edgar Jones,0,1,0,0,0,0,0,0,0
Nate Jones,0,1,0,0,0,0,0,0,0
Glenn Martinez,0,1,0,0,0,0,0,0,0
Seth McKinney,0,1,0,0,0,0,0,0,0
Jeb Putzier,0,1,0,0,0,0,0,0,0
Isaac Sowells,0,1,0,0,0,0,0,0,0
Takeo Spikes,0,1,0,0,0,0,0,0,1
Kevin Walter,0,1,0,0,0,0,0,0,0
Philip Wheeler,0,1,0,0,0,0,0,0,0
Charles Woodson,-2,1,-2,0,0,0,-2,0,0
