Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Andy Lee,50.9,44.6,3475,79,68,3970,28,1,12,9,17,39,315,0,1
Shane Lechler,50.8,40.9,3187,78,80,3960,27,7,10,9,8,44,593,2,0
Robert Malone,49,24.6,123,5,62,245,0,2,0,0,0,3,122,1,0
Brandon Fields,48.8,41.1,3207,78,70,3810,32,5,9,7,10,47,463,0,0
Thomas Morstead,48.4,44,2026,47,64,2224,13,7,6,4,10,19,118,0,1
Brian Moorman,48.2,38.6,2778,73,66,3472,20,4,7,10,8,43,494,0,1
Mike Scifres,47.5,39.7,1865,47,71,2234,17,5,3,2,12,25,329,0,0
Britton Colquitt,47.4,40.2,4058,101,66,4783,33,3,13,7,27,51,585,1,0
Jon Ryan,46.6,39.3,3730,95,77,4431,34,3,17,8,20,47,541,2,0
Patrick McAfee,46.6,39.6,3488,89,64,4098,21,8,11,3,18,48,550,1,1
Sam Koch,46.5,38.6,2821,73,63,3393,21,11,9,9,11,33,392,2,0
Zoltan Mesko,46.5,41.5,2368,57,65,2648,24,2,8,3,18,26,220,0,0
Daniel Sepulveda,46.1,40.6,1016,26,66,1153,8,2,5,5,5,8,37,0,1
Dustin Colquitt,45.9,40.2,3573,89,68,4084,27,5,17,5,26,36,411,1,0
Chris Kluwe,45.7,38,2925,77,60,3517,22,5,7,3,19,43,532,1,0
Steve Weatherford,45.7,39.2,3218,82,62,3745,25,9,11,6,15,41,407,0,0
Tim Masthay,45.6,38.6,2121,55,71,2506,23,3,14,4,10,24,305,1,0
Dave Zastudil,45.2,37.5,3264,87,66,3929,24,4,11,5,19,48,565,1,0
Michael Koenen,45.1,40.2,2697,67,65,3023,24,5,9,3,14,36,266,0,0
Jeremy Kapinos,45,38.3,1302,34,59,1530,10,0,4,1,8,21,208,0,0
Brett Hartmann,44.4,37.8,2190,58,69,2573,15,5,7,7,13,26,243,0,0
Donnie Jones,44.3,37.3,3920,106,65,4652,29,9,14,9,28,45,552,2,1
Kevin Huber,44.2,39.2,3570,91,71,4023,24,8,10,9,26,38,273,1,0
Ben Graham,43.8,37.9,1250,33,58,1447,12,1,10,3,6,13,137,0,0
Adam Podlesh,43.8,40.4,3600,89,70,3903,21,3,14,4,27,41,223,0,0
Mat McBriar,43.8,36.7,2130,59,68,2542,21,6,6,7,13,26,272,0,1
Brett Kern,43.6,39.4,3386,86,64,3747,31,10,10,7,23,36,221,0,0
Sav Rocca,43.1,39,2572,66,63,2842,28,3,9,1,21,32,250,0,0
Chas Henry,42.9,37.5,2474,67,60,2830,19,2,8,9,16,31,176,0,1
Jason Baker,42.7,34.1,2253,66,56,2819,19,0,11,5,15,35,466,3,0
Matt Bosher,42.7,39.4,2760,71,59,2990,27,2,9,4,24,31,150,0,1
Ryan Donahue,42.7,35.6,1743,49,60,2093,13,4,11,4,8,22,270,0,0
Nick Harris,42.7,37.9,2729,72,55,3075,13,5,6,5,17,39,246,0,0
T.J. Conley,42.7,38.8,3565,92,63,3926,32,7,16,6,31,32,241,0,0
Chris Jones,42.6,40.5,405,10,54,426,4,3,0,1,3,3,1,0,0
Matt Turk,40.8,34.5,1484,43,65,1755,11,5,10,6,7,15,151,0,0
Brad Maynard,40.5,36.7,2974,81,63,3282,32,13,17,1,25,25,288,1,0
Dan Bailey,39.5,37,74,2,41,79,0,0,0,0,1,1,5,0,0
Richmond McGee,36,31.6,253,8,48,288,0,0,3,1,3,1,15,0,0
