Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Patriots,112,7274,52,46.4,60,20.5,1,0,0,0
Broncos,99,6365,65,65.7,34,22.1,0,0,0,0
Falcons,94,6141,45,47.9,48,22.2,1,0,0,0
Giants,94,6062,24,25.5,70,23.7,1,0,0,0
Texans,92,5790,28,30.4,62,25.7,2,0,0,2
Saints,92,5887,45,48.9,42,25,4,0,1,1
Redskins,91,5797,33,36.3,55,23,2,0,1,0
Ravens,89,6002,49,55.1,37,23.2,3,0,0,0
Bengals,88,5835,27,30.7,60,24.5,1,0,0,1
Packers,88,5741,35,39.8,51,23.4,1,1,1,0
Niners,88,5805,40,45.4,48,26.8,0,0,0,0
Seahawks,88,5795,36,40.9,50,22.9,2,0,0,0
Lions,87,5414,30,34.5,52,23.3,2,1,2,2
Buccaneers,87,5727,58,66.7,27,25.2,2,0,0,0
Bears,86,5639,49,57,37,20.7,1,0,0,0
Vikings,86,5858,53,61.6,33,24.1,0,0,0,0
Cowboys,84,5212,30,35.7,50,22,5,1,1,1
Colts,79,5455,45,57,34,24.7,0,0,0,0
Chargers,78,5081,30,38.5,45,22.6,2,1,1,0
Panthers,77,4836,37,48,39,19,1,0,0,0
Browns,77,4914,30,39,43,19.8,2,0,1,0
Steelers,75,4784,29,38.7,46,24,0,0,0,0
Titans,74,4725,37,50,33,26.1,3,0,2,1
Bills,73,4530,20,27.4,51,22.4,2,0,0,1
Raiders,73,4565,38,52,30,28.9,7,0,2,2
Dolphins,71,4630,34,47.9,35,24.8,2,1,0,1
Eagles,70,4429,26,37.1,41,24.7,3,1,0,0
Jaguars,69,4469,26,37.7,39,25.9,3,1,1,0
Jets,69,4360,12,17.4,54,21.9,2,0,1,1
Rams,68,4507,37,54.4,30,24.3,1,0,0,0
Cardinals,64,4000,29,45.3,32,26.4,3,0,0,0
Chiefs,58,3716,27,46.6,27,25.6,2,0,2,0
