Team,FF,FR,FR TD
Rams,21,15,3
Bears,19,8,1
Colts,19,12,0
Raiders,19,12,2
Seahawks,17,10,1
Broncos,16,9,1
Packers,16,11,2
Steelers,16,10,0
Jaguars,15,10,1
Giants,15,12,0
Buccaneers,15,10,0
Ravens,14,7,0
Titans,14,12,2
Falcons,13,10,1
Bengals,13,11,1
Cowboys,13,13,3
Chiefs,13,15,2
Saints,13,7,0
Eagles,13,12,1
Bills,12,6,1
Vikings,12,8,1
Niners,12,10,3
Redskins,12,9,1
Panthers,11,9,0
Lions,11,7,1
Patriots,11,12,1
Cardinals,11,9,1
Chargers,11,6,0
Texans,10,4,0
Dolphins,10,6,0
Jets,10,2,0
Browns,8,7,1
