Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Titans,44.6,3342,75,49.7,74,3728,28,16,5,5,9,40,286,0,0
Rams,44.3,2881,65,47.9,70,3113,30,16,8,4,12,25,152,0,0
Colts,43.1,3624,84,44.8,61,3764,28,16,19,3,27,19,80,0,1
Raiders,42.7,2945,69,47.4,65,3270,28,6,10,6,15,32,205,0,0
Panthers,42.4,3013,71,46,63,3269,25,6,10,4,21,30,176,0,0
Saints,42.2,2533,60,47,68,2822,26,7,9,2,18,24,249,1,0
Packers,41.6,2951,71,44.4,62,3155,19,8,8,2,24,29,164,0,0
Cowboys,41.4,2733,66,44.1,62,2908,34,9,14,5,20,18,75,0,0
Chargers,41.3,3059,74,48.1,69,3558,27,4,7,9,6,48,319,0,0
Texans,41.3,3799,92,49,68,4507,32,8,8,5,22,49,608,1,0
49ers,41.3,3097,75,43.4,59,3255,31,8,10,1,23,33,138,1,0
Bengals,41.3,3631,88,46.6,63,4101,32,7,12,3,23,43,410,1,1
Eagles,41.2,2762,67,45.3,62,3033,21,7,16,5,14,25,171,0,1
Chiefs,41.1,2672,65,45.2,77,2936,29,5,9,5,22,24,164,0,0
Broncos,41.1,3039,74,45.4,60,3357,24,5,13,3,23,30,258,1,2
Ravens,40.8,3428,84,44.8,67,3765,40,16,13,3,18,34,277,0,1
Browns,40.8,3305,81,47.2,67,3827,24,6,15,2,13,45,482,0,1
Falcons,40.8,2160,53,44.9,62,2379,19,4,3,2,22,22,179,0,0
Dolphins,40.7,3375,83,44.5,64,3695,30,6,17,5,20,35,220,0,0
Patriots,40.5,2350,58,43.4,60,2515,24,5,13,3,14,23,105,0,0
Jets,40.5,3807,94,46.6,70,4378,33,8,10,4,23,49,491,1,0
Bills,40.5,3199,79,44.7,60,3529,28,10,9,6,16,38,210,0,0
Buccaneers,40.1,2604,65,44,62,2857,24,5,7,5,21,27,153,0,1
Steelers,39.8,2546,64,43.2,62,2763,26,9,6,2,24,23,177,0,0
Bears,39.7,3455,87,47,69,4087,27,8,9,6,15,49,512,1,0
Cardinals,39.7,3493,88,47.3,63,4159,29,6,13,8,13,48,506,0,0
Jaguars,39.4,3427,87,44.1,65,3835,29,15,8,9,25,30,228,0,1
Lions,39.3,2872,73,43.7,64,3190,25,8,8,6,25,26,198,0,0
Vikings,39.2,2781,71,42.2,56,2994,29,7,7,0,33,24,213,1,0
Redskins,39,3239,83,45.7,64,3794,33,5,7,6,26,39,435,1,0
Seahawks,38.8,3569,92,45,74,4141,29,10,12,6,19,45,452,0,0
Giants,37.5,3561,95,44.1,69,4189,19,7,16,9,20,43,448,1,2
