Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Raiders,40,93,30,90.9,0,0
Patriots,36,92.3,42,89.4,0,0
Steelers,36,90,27,93.1,0,0
Ravens,35,94.6,32,100,0,0
Vikings,33,86.8,36,90,2,0
Rams,32,94.1,48,98,0,1
Eagles,30,90.9,44,100,0,0
Cardinals,30,81.1,47,95.9,0,0
Bengals,29,85.3,47,95.9,0,0
Cowboys,29,82.9,47,88.7,1,0
Colts,29,82.9,46,97.9,0,0
Giants,29,87.9,17,100,0,0
Bills,28,87.5,51,100,0,0
Chiefs,28,87.5,50,94.3,0,0
Football Team,28,84.8,25,86.2,1,0
Falcons,27,93.1,30,100,0,0
49ers,27,84.4,42,91.3,0,0
Panthers,26,89.7,26,92.9,0,0
Bears,26,86.7,27,96.4,0,1
Broncos,26,83.9,33,97.1,0,0
Lions,26,86.7,27,96.4,0,0
Titans,26,81.2,43,91.5,0,0
Packers,25,73.5,49,96.1,0,0
Saints,25,83.3,31,81.6,0,0
Buccaneers,25,80.6,56,94.9,0,0
Chargers,24,88.9,40,85.1,1,0
Dolphins,23,74.2,34,97.1,0,0
Texans,21,77.8,25,86.2,1,0
Jaguars,21,77.8,18,81.8,1,0
Jets,21,77.8,23,85.2,1,0
Seahawks,17,73.9,44,93.6,1,0
Browns,16,72.7,37,94.9,0,0
