Team,Rsh TD,Rec TD,Tot TD,2-PT
Eagles,32,25,59,2
Cowboys,24,28,52,0
Lions,23,29,54,4
Giants,21,17,39,3
49ers,20,30,52,0
Browns,19,19,40,1
Bears,18,19,37,1
Chiefs,18,41,61,3
Vikings,18,30,49,3
Falcons,17,17,38,3
Panthers,16,16,35,1
Titans,16,16,34,1
Jaguars,16,25,43,4
Steelers,16,12,29,3
Bills,15,35,53,2
Rams,15,16,32,0
Cardinals,15,17,35,5
Chargers,15,26,42,2
Ravens,14,19,34,2
Bengals,14,35,49,3
Jets,13,15,29,0
Packers,12,27,42,2
Raiders,12,28,41,0
Dolphins,12,30,44,0
Patriots,12,19,37,1
Saints,12,24,37,3
Seahawks,12,30,44,0
Broncos,11,18,29,1
Commanders,9,24,35,2
Colts,8,17,28,1
Texans,7,20,29,1
Buccaneers,5,26,32,2
