Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Sam Howell,2783,7,397,264,66.5,17,9,91.5,127,32,32,3,51,47,317
C.J. Stroud,2626,8.3,318,196,61.6,15,2,101,125,39.3,43,5,75,19,163
Tua Tagovailoa,2609,8.5,308,214,69.5,19,7,106.4,130,42.2,33,7,69,14,82
Josh Allen,2600,7.4,350,246,70.3,19,11,96.6,124,35.4,27,5,55,13,64
Jared Goff,2507,7.7,326,223,68.4,14,5,99,120,36.8,41,5,46,15,92
Patrick Mahomes,2442,7.3,334,229,68.6,17,8,96.7,118,35.3,29,4,54,12,89
Dak Prescott,2415,8,300,212,70.7,17,6,105.1,117,39,38,4,60,22,155
Justin Herbert,2349,7.3,322,216,67.1,17,5,99.5,115,35.7,34,3,60,20,156
Jalen Hurts,2347,7.7,305,210,68.8,15,8,97,106,34.8,32,6,63,22,123
Kirk Cousins,2331,7.5,311,216,69.4,18,5,103.8,112,36,34,4,62,17,110
Brock Purdy,2329,9.3,250,172,68.8,15,5,109.9,109,43.6,38,5,66,16,98
Derek Carr,2231,6.7,334,220,65.9,10,4,89.8,102,30.5,24,7,58,21,136
Joe Burrow,2208,6.3,348,233,67,14,6,90.5,110,31.6,20,4,64,22,166
Lamar Jackson,2177,7.9,276,194,70.3,10,5,98,95,34.4,31,5,80,24,137
Geno Smith,2171,7.2,300,196,65.3,11,7,89.2,100,33.3,26,3,64,19,149
Baker Mayfield,2143,7,305,197,64.6,14,5,93.6,99,32.5,32,6,70,16,86
Trevor Lawrence,2120,7.1,300,202,67.3,9,6,89.3,95,31.7,25,3,56,24,153
Matthew Stafford,2070,7.4,278,166,59.7,8,7,82,96,34.5,36,3,49,19,145
Mac Jones,2031,6.3,324,212,65.4,10,10,80.2,95,29.3,17,2,58,21,127
Jordan Love,2009,6.7,300,176,58.7,14,10,80.5,98,32.7,26,4,77,19,143
Joshua Dobbs,1995,6,330,210,63.6,11,5,85.1,104,31.5,24,2,69,21,143
Zach Wilson,1863,6.1,306,183,59.8,5,6,74.6,81,26.5,22,3,68,33,240
Russell Wilson,1806,6.9,262,178,67.9,18,4,104,83,31.7,23,5,60,30,145
Desmond Ridder,1740,7.1,246,161,65.4,6,6,84.1,86,35,19,3,46,25,171
Gardner Minshew,1721,6.7,256,163,63.7,8,6,83.8,75,29.3,21,6,75,15,88
Kenny Pickett,1616,6.4,253,155,61.3,6,4,81.1,67,26.5,20,3,72,18,134
Bryce Young,1560,5.4,290,182,62.8,8,7,75.9,80,27.6,12,3,48,29,234
Jimmy Garoppolo,1205,7.2,168,110,65.5,7,9,78.1,60,35.7,9,0,32,13,101
Justin Fields,1201,7.4,162,100,61.7,11,6,91.6,55,34,21,2,58,24,143
Ryan Tannehill,1128,7.1,158,98,62,2,6,71.9,49,31,17,4,70,19,135
Deshaun Watson,1115,6.5,171,105,61.4,7,4,84.3,52,30.4,12,3,59,17,85
Daniel Jones,909,5.7,160,108,67.5,2,6,70.6,43,26.9,9,1,58,30,167
Tyson Bagent,859,6,143,94,65.7,3,6,71.4,48,33.6,3,1,41,5,35
Will Levis,699,6.5,107,60,56.1,4,2,80.7,29,27.1,12,2,61,10,71
Aidan O'Connell,675,6.5,104,66,63.5,2,3,76.4,34,32.7,5,2,50,10,77
PJ Walker,618,6.3,98,48,49,1,5,51.3,25,25.5,10,3,58,7,62
Tyrod Taylor,579,6.7,87,57,65.5,2,0,92.1,25,28.7,10,1,42,10,54
Anthony Richardson,577,6.9,84,50,59.5,3,1,87.2,31,36.9,9,0,39,7,29
Taylor Heinicke,498,6.7,74,41,55.4,3,1,84.2,23,31.1,7,2,60,5,40
Andy Dalton,361,6.2,58,34,58.6,2,0,88.4,17,29.3,5,1,47,3,27
Tommy DeVito,260,4.8,54,31,57.4,3,3,65.4,13,24.1,3,0,34,13,63
Kyler Murray,249,7.8,32,19,59.4,0,1,71,11,34.4,3,0,33,2,19
Brian Hoyer,231,5.5,42,23,54.8,0,2,50.8,14,33.3,2,1,48,1,8
Jameis Winston,223,5.3,42,23,54.8,2,3,56,8,19,3,0,28,2,13
Brett Rypien,172,4.5,38,18,47.4,0,1,49.4,8,21,1,0,34,2,18
Mitchell Trubisky,156,4.9,32,18,56.2,1,2,53.6,9,28.1,1,0,22,2,15
Dorian Thompson-Robinson,130,3.5,37,20,54,0,3,28,6,16.2,0,0,16,4,48
Bailey Zappe,104,4.2,25,10,40,0,1,36.1,3,12,2,0,22,1,7
Jaren Hall,101,10.1,10,8,80,0,0,108.8,4,40,1,1,47,1,0
Cooper Rush,99,5.8,17,13,76.5,0,1,65.6,4,23.5,1,0,29,1,8
Malik Willis,74,14.8,5,4,80,0,0,118.8,1,20,1,1,48,4,30
Taysom Hill,72,12,6,5,83.3,1,0,156.2,3,50,1,1,44,1,3
Mike White,67,22.3,3,2,66.7,1,1,109.7,1,33.3,1,1,68,0,0
Drew Lock,63,10.5,6,2,33.3,0,0,73.6,2,33.3,1,1,51,0,0
Clayton Tune,62,3,21,12,57.1,0,2,22.6,3,14.3,0,0,14,7,41
