Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dustin Hopkins,33,36,91.7,0/0,8/8,7/7,10/13,8/8,0/0,58,0
Brandon Aubrey,31,31,100,0/0,9/9,12/12,2/2,7/7,1/1,60,0
Jason Myers,28,35,80,0/0,4/4,10/11,10/12,4/8,0/0,55,0
Nick Folk,27,28,96.4,0/0,9/9,8/8,6/6,4/5,0/0,53,0
Wil Lutz,27,29,93.1,0/0,10/10,11/12,3/3,3/4,0/0,52,1
Cairo Santos,27,29,93.1,0/0,7/7,9/9,5/7,6/6,0/0,55,0
Justin Tucker,27,32,84.4,0/0,7/7,9/9,10/11,1/4,0/1,50,1
Greg Zuerlein,27,28,96.4,0/0,5/5,8/8,10/10,4/5,0/0,55,0
Matt Gay,26,33,78.8,0/0,9/9,4/5,6/8,7/10,0/1,57,1
Harrison Butker,25,26,96.2,0/0,5/5,13/14,3/3,3/3,1/1,60,0
Blake Grupe,25,32,78.1,0/0,7/9,5/5,7/9,6/9,0/0,55,0
Younghoe Koo,25,28,89.3,0/0,8/8,7/7,7/8,3/5,0/0,54,0
Jake Elliott,24,26,92.3,0/0,7/7,6/7,4/4,6/7,1/1,61,0
Brandon McManus,24,30,80,0/0,2/2,7/7,10/12,5/9,0/0,56,1
Eddy Pineiro,24,28,85.7,0/0,6/6,7/7,7/9,4/6,0/0,56,0
Chris Boswell,23,25,92,0/0,6/6,5/5,7/8,5/5,0/1,57,0
Chase McLaughlin,23,25,92,0/0,7/7,9/9,2/3,5/6,0/0,57,2
Evan McPherson,23,28,82.1,0/0,5/5,4/4,7/7,7/12,0/0,56,0
Matt Prater,23,26,88.5,0/0,4/4,5/6,6/6,7/9,1/1,62,0
Anders Carlson,22,27,81.5,0/0,5/5,11/11,4/7,2/3,0/1,52,0
Ka'imi Fairbairn,22,23,95.6,0/0,8/8,9/9,2/2,3/4,0/0,54,0
Tyler Bass,21,26,80.8,0/0,2/2,11/12,4/6,4/6,0/0,54,1
Daniel Carlson,20,24,83.3,0/0,8/8,4/5,7/8,1/3,0/0,54,1
Greg Joseph,20,26,76.9,1/1,6/6,8/8,2/5,3/6,0/0,54,1
Cameron Dicker,19,20,95,0/0,5/5,7/7,3/3,4/5,0/0,55,0
Jake Moody,18,21,85.7,0/0,6/6,7/7,3/5,2/3,0/0,57,0
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Jason Sanders,17,21,81,0/0,4/4,5/5,6/8,2/4,0/0,54,2
Joey Slye,17,22,77.3,0/0,2/3,6/6,6/8,2/4,1/1,61,1
Riley Patterson,15,17,88.2,0/0,2/3,10/10,2/2,1/2,0/0,52,0
Chad Ryland,13,20,65,0/0,4/4,3/5,5/8,1/3,0/0,51,0
Lucas Havrisik,12,16,75,0/0,6/6,2/2,2/5,2/3,0/0,52,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Matt Ammendola,6,9,66.7,0/0,2/2,3/3,1/2,0/2,0/0,45,0
Randy Bullock,5,6,83.3,0/0,0/0,2/2,2/3,1/1,0/0,56,0
Jamie Gillan,1,1,100,0/0,0/0,0/0,1/1,0/0,0/0,40,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
Mike Badgley,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
