Player,INT,INT TD,INT Yds,Lng
DaRon Bland,9,5,209,63
Geno Stone,7,0,101,36
Jessie Bates,6,1,95,92
Rasul Douglas,5,1,56,40
Derek Stingley Jr.,5,0,17,14
Charvarius Ward,5,1,91,66
Paulson Adebo,4,0,32,27
Julian Blackmon,4,0,39,25
Andre Cisco,4,0,68,29
Tremaine Edmunds,4,1,61,45
Martin Emerson,4,0,25,14
Kyle Hamilton,4,1,25,18
Jaylon Johnson,4,1,65,39
Kerby Joseph,4,0,37,22
Julian Love,4,0,7,7
Tyrann Mathieu,4,1,122,74
Steven Nelson,4,0,33,33
Tyrique Stevenson,4,0,46,34
Cam Taylor-Britt,4,1,65,30
Jalen Thompson,4,0,49,35
Fred Warner,4,0,63,32
Jordan Whitehead,4,0,6,6
Darious Williams,4,1,72,61
Logan Wilson,4,0,42,26
Tony Adams,3,0,50,45
Terrel Bernard,3,0,2,2
Reed Blankenship,3,0,17,17
Brian Branch,3,1,63,50
Ashtyn Davis,3,0,66,51
T.J. Edwards,3,0,4,2
Jordan Fuller,3,0,39,21
Talanoa Hufanga,3,0,48,28
Jerry Jacobs,3,0,45,20
Deommodore Lenoir,3,0,49,28
Xavier McKinney,3,0,22,18
Tre'von Moehrig,3,0,41,25
Kenny Moore II,3,2,115,66
Byron Murphy,3,0,59,37
Jalen Ramsey,3,0,52,49
Justin Simmons,3,0,39,33
Robert Spillane,3,0,53,25
Antoine Winfield Jr.,3,0,28,28
Ahkello Witherspoon,3,0,17,17
Jerome Baker,2,1,23,22
Deonte Banks,2,0,6,6
D'Anthony Bell,2,0,8,6
Dane Belton,2,0,22,20
Christian Benford,2,0,8,8
Ji'Ayir Brown,2,0,0,0
Tre Brown,2,1,40,40
Sean Murphy-Bunting,2,0,12,10
Camryn Bynum,2,0,0,0
Carlton Davis,2,0,3,3
Dee Delaney,2,0,4,4
Kyle Dugger,2,0,35,20
A.J. Epenesa,2,1,38,32
Rudy Ford,2,0,30,21
Kendall Fuller,2,0,23,23
Alohi Gilman,2,0,0,0
Stephon Gilmore,2,0,0,0
Kyler Gordon,2,0,0,0
Ronnie Harrison,2,1,45,36
Alex Highsmith,2,1,30,30
B.J. Hill,2,0,0,0
Daxton Hill,2,0,20,20
Mike Hilton,2,0,16,16
Darnay Holmes,2,0,13,11
DeAndre Houston-Carson,2,0,13,13
Micah Hyde,2,0,24,23
Christian Izien,2,0,18,14
Kareem Jackson,2,0,5,5
Rayshawn Jenkins,2,0,42,24
Antonio Johnson,2,0,50,27
John Johnson,2,0,44,42
Brandon Jones,2,0,40,40
Jack Jones,2,2,49,33
Damontae Kazee,2,0,37,30
Quan Martin,2,0,7,7
Marcus Maye,2,0,5,5
Ja'Quan McMillian,2,0,14,9
Ifeatu Melifonwu,2,0,35,24
Matt Milano,2,0,16,13
Greg Newsome II,2,1,34,34
Bobby Okereke,2,0,62,55
Jeremiah Owusu-Koramoah,2,0,8,8
Jabrill Peppers,2,0,33,32
Patrick Peterson,2,0,0,0
Jason Pinnock,2,1,123,102
Germaine Pratt,2,0,9,9
Amik Robertson,2,0,40,40
Asante Samuel Jr.,2,0,8,8
Darius Slay,2,1,86,70
L'Jarius Sneed,2,0,4,4
Brandon Stephens,2,0,56,52
Jahlani Tavai,2,0,2,2
Alontae Taylor,2,0,16,16
Rodney Thomas,2,0,5,5
Levi Wallace,2,0,0,0
Denzel Ward,2,0,20,20
Devin White,2,0,36,26
Donovan Wilson,2,0,0,0
Xavier Woods,2,0,-1,2
Riq Woolen,2,0,0,0
Johnathan Abram,1,0,0,0
Kwon Alexander,1,0,0,0
Josh Allen,1,0,8,8
Eli Apple,1,0,8,8
Alex Austin,1,0,0,0
Corey Ballentine,1,0,0,0
Krys Barnes,1,0,46,46
Shaquil Barrett,1,1,4,4
Cody Barton,1,0,52,52
Jordan Battle,1,0,0,0
Zack Baun,1,0,10,10
Vonn Bell,1,0,11,11
Mekhi Blackmon,1,0,0,0
Joey Blount,1,0,0,0
Nick Bolton,1,0,1,1
James Bradberry,1,0,5,5
Julius Brents,1,0,0,0
Jaquan Brisker,1,0,0,0
Jordyn Brooks,1,1,12,12
Derrick Brown,1,0,2,2
Sydney Brown,1,1,99,99
Tony Brown,1,0,34,34
Myles Bryant,1,0,6,6
Oren Burks,1,0,11,11
Kevin Byard,1,0,0,0
Tyson Campbell,1,0,0,0
Blake Cashman,1,0,0,0
Zaven Collins,1,0,1,1
Chamarri Conner,1,0,4,4
Bryan Cook,1,0,9,9
Jonathon Cooper,1,0,4,4
Nick Cross,1,0,18,18
Jamin Davis,1,0,0,0
Michael Davis,1,0,0,0
Grant Delpit,1,0,0,0
Quandre Diggs,1,0,21,21
Trevon Diggs,1,0,8,8
Brandin Echols,1,1,30,30
Terrell Edmunds,1,0,2,2
Mike Edwards,1,0,16,16
DeShon Elliott,1,0,0,0
Akayleb Evans,1,0,1,1
Cordale Flott,1,0,21,21
Emmanuel Forbes,1,0,3,3
Mike Ford,1,0,10,10
Sam Franklin Jr.,1,1,99,99
C.J. Gardner-Johnson,1,0,0,0
Willie Gay Jr.,1,0,24,24
William Gholston,1,0,0,0
Tashaun Gipson,1,0,26,26
Christian Gonzalez,1,0,0,0
Richie Grant,1,0,4,4
Shaquill Griffin,1,0,0,0
Kamu Grugier-Hill,1,0,31,31
Bryce Hall,1,0,5,5
Antonio Hamilton,1,0,0,0
Will Harris,1,0,0,0
Duron Harmon,1,0,0,0
Tayler Hawkins,1,0,0,0
Ronnie Hickman Jr.,1,1,30,30
Jordan Hicks,1,0,9,9
Troy Hill,1,1,61,61
Nate Hobbs,1,0,10,10
Jevon Holland,1,1,99,99
Amani Hooker,1,0,10,10
Malik Hooker,1,0,0,0
Xavien Howard,1,0,0,0
Marlon Humphrey,1,0,3,3
Maurice Hurst,1,0,0,0
Aidan Hutchinson,1,0,6,6
Adoree' Jackson,1,1,76,76
Eddie Jackson,1,0,27,27
J.C. Jackson,1,0,9,9
Theo Jackson,1,0,0,0
Derwin James,1,0,6,6
Lonnie Johnson,1,0,0,0
Quindell Johnson,1,0,0,0
Anthony Johnson Jr.,1,0,1,1
Jermaine Johnson II,1,1,37,37
Deion Jones,1,0,0,0
Jayron Kearse,1,0,32,32
Derion Kendrick,1,0,0,0
Nate Landman,1,0,25,25
Marshon Lattimore,1,0,0,0
Jourdan Lewis,1,0,0,0
P.J. Locke,1,0,14,14
Marte Mapu,1,0,20,20
Arthur Maulet,1,0,0,0
Nick McCloud,1,0,0,0
Roger McCreary,1,0,18,18
Micah McFadden,1,0,5,5
Josh Metellus,1,0,43,43
Elijah Molden,1,1,44,44
Fabian Moreau,1,0,9,9
C.J. Mosley,1,0,0,0
Kenneth Murray,1,0,0,0
Keanu Neal,1,0,32,32
Keisean Nixon,1,0,2,2
Emmanuel Ogbah,1,0,5,5
Ed Oliver,1,0,0,0
Isaiah Oliver,1,0,3,3
Segun Olubi,1,0,0,0
Foye Oluokun,1,1,24,24
Ivan Pace Jr.,1,0,0,0
Marcus Peters,1,1,75,75
Jaelan Phillips,1,0,5,5
Isaiah Pola-Mao,1,0,0,0
Joey Porter Jr.,1,0,0,0
Patrick Queen,1,0,21,21
Taylor Rapp,1,0,0,0
D.J. Reed,1,0,0,0
Justin Reid,1,0,11,11
Kelee Ringo,1,0,0,0
Eric Rowe,1,0,25,25
Christian Rozeboom,1,0,0,0
Jack Sanborn,1,0,42,42
Zach Sieler,1,1,5,5
Isaiah Simmons,1,1,54,54
Roquan Smith,1,0,30,30
Benjamin St-Juste,1,0,0,0
Greg Stroman,1,0,0,0
Chandon Sullivan,1,0,0,0
Pat Surtain II,1,0,0,0
Cameron Sutton,1,0,23,23
Sione Takitaki,1,0,0,0
Ja'Sir Taylor,1,0,8,8
Ambry Thomas,1,0,2,2
Trenton Thompson,1,0,6,6
Andrew Van Ginkel,1,1,33,33
Mykal Walker,1,0,30,30
Quay Walker,1,1,37,37
K'Von Wallace,1,0,2,2
Jimmie Ward,1,0,0,0
T.J. Watt,1,0,24,24
Pete Werner,1,0,0,0
Kyzir White,1,0,0,0
Tre'Davious White,1,0,2,2
Quinnen Williams,1,0,7,7
Garrett Williams,1,0,0,0
Marcus Williams,1,0,22,22
Quincy Williams,1,0,11,11
Andrew Wingard,1,0,0,0
Devon Witherspoon,1,1,97,97
Isaac Yiadom,1,0,0,0
Dre Greenlaw,0,0,16,16
