Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
CeeDee Lamb,135,1749,12,29,3,92,80,59.3,3,672,181
Tyreek Hill,119,1799,13,29,9,78,83,69.8,1,652,171
Amon-Ra St. Brown,119,1515,10,24,3,70,75,63,1,668,164
Evan Engram,114,963,4,9,0,34,47,41.2,3,516,143
Michael Pittman,109,1152,4,10,3,75,53,48.6,1,513,156
Keenan Allen,108,1243,7,19,1,42,56,51.8,2,396,150
Stefon Diggs,107,1183,8,10,2,55,58,54.2,2,399,160
A.J. Brown,106,1456,7,21,3,59,70,66,2,473,158
Puka Nacua,105,1486,6,25,3,80,68,64.8,1,639,160
Davante Adams,103,1144,8,13,2,46,59,57.3,0,336,175
Adam Thielen,103,1014,4,9,0,32,56,54.4,2,334,137
Ja'Marr Chase,100,1216,7,14,4,76,63,63,1,541,145
DJ Moore,96,1364,8,25,2,58,64,66.7,1,539,136
T.J. Hockenson,95,960,5,13,0,29,48,50.5,1,336,127
Garrett Wilson,95,1042,3,11,2,68,47,49.5,2,327,168
Travis Kelce,93,984,5,12,2,53,50,53.8,1,470,120
Chris Olave,87,1123,5,16,3,51,57,65.5,0,347,138
Sam LaPorta,86,889,10,8,2,48,48,55.8,0,358,120
Chris Godwin,83,1024,2,14,2,47,53,63.9,0,376,130
Trey McBride,81,825,3,9,0,38,42,51.8,1,420,106
David Njoku,81,882,6,12,2,43,35,43.2,2,599,123
DeVonta Smith,81,1066,7,14,3,63,47,58,1,294,112
Nico Collins,80,1297,8,25,5,75,53,66.2,1,549,109
Mike Evans,79,1255,13,20,6,75,54,68.4,0,322,136
Tyler Lockett,79,894,5,9,0,37,47,59.5,0,210,122
Terry McLaurin,79,1002,4,15,2,48,47,59.5,0,350,132
Rashee Rice,79,938,7,10,1,67,44,55.7,2,652,102
Zay Flowers,77,858,5,12,4,75,41,53.2,0,387,108
Breece Hall,76,591,4,7,1,50,28,36.8,0,649,95
Calvin Ridley,76,1016,8,17,2,59,49,64.5,1,194,136
Brandon Aiyuk,75,1342,7,28,3,76,61,81.3,1,362,105
DeAndre Hopkins,75,1057,7,15,4,61,48,64,0,223,137
Alvin Kamara,75,466,1,3,0,25,23,30.7,0,501,86
Dalton Kincaid,73,673,2,5,1,51,29,39.7,1,315,91
Cole Kmet,73,719,6,9,2,53,36,49.3,1,290,90
Amari Cooper,72,1250,5,21,8,75,50,69.4,2,271,128
Jaylen Waddle,72,1014,4,12,2,60,47,65.3,0,421,103
Jake Ferguson,71,761,5,8,1,40,40,56.3,0,412,102
Jakobi Meyers,71,807,8,8,0,33,46,64.8,0,242,106
Jordan Addison,70,911,10,15,3,62,38,54.3,0,262,107
Drake London,69,905,2,17,1,45,45,65.2,0,188,110
Josh Downs,68,771,2,10,2,59,30,44.1,0,371,98
Justin Jefferson,68,1074,5,25,2,52,51,75,1,260,100
Tyler Boyd,67,667,2,6,2,64,28,41.8,0,279,98
Christian McCaffrey,67,564,7,4,1,41,31,46.3,1,461,83
DK Metcalf,66,1114,8,19,4,73,52,78.8,0,367,119
George Kittle,65,1020,6,18,3,66,42,64.6,0,483,90
Jayden Reed,64,793,8,13,3,59,32,50,0,335,94
Rachaad White,64,549,3,10,1,43,23,35.9,1,611,70
George Pickens,63,1140,5,22,6,86,41,65.1,3,388,106
Jaxon Smith-Njigba,63,628,4,7,0,35,29,46,0,366,93
Curtis Samuel,62,613,4,7,0,37,26,41.9,0,260,91
Tyler Conklin,61,621,0,7,0,37,27,44.3,0,246,87
Jaylen Warren,61,370,0,2,0,30,19,31.2,1,482,74
Wan'Dale Robinson,60,525,1,7,0,33,29,48.3,0,287,78
Deebo Samuel,60,892,7,15,6,54,34,56.7,1,527,89
Romeo Doubs,59,674,8,7,0,36,41,69.5,1,134,96
Dallas Goedert,59,592,3,6,1,49,33,55.9,0,319,83
Cooper Kupp,59,737,5,10,2,62,33,55.9,0,322,95
Elijah Moore,59,640,2,9,1,42,29,49.2,1,191,104
Dalton Schultz,59,635,5,7,0,31,35,59.3,1,259,88
Courtland Sutton,59,772,10,14,2,46,37,62.7,3,156,90
Travis Etienne,58,476,1,2,1,56,23,39.7,0,502,73
Bijan Robinson,58,487,4,5,1,71,24,41.4,0,481,86
Christian Kirk,57,787,3,13,3,57,34,59.6,2,247,85
Tony Pollard,55,311,0,2,1,60,12,21.8,2,320,67
Logan Thomas,55,496,4,3,0,29,21,38.2,2,229,78
Brandin Cooks,54,657,8,11,0,37,38,70.4,1,117,81
Jerry Jeudy,54,758,2,10,5,47,28,51.8,1,323,87
Chigoziem Okonkwo,54,528,1,6,0,39,25,46.3,0,260,77
Kyle Pitts,53,667,3,7,0,39,35,66,0,134,90
Jahmyr Gibbs,52,316,1,2,0,24,20,38.5,0,314,71
Joe Mixon,52,376,3,4,1,45,14,26.9,0,463,64
Tyjae Spears,52,385,1,4,1,48,17,32.7,1,460,70
Darren Waller,52,552,1,8,0,29,25,48.1,0,211,74
Marquise Brown,51,574,4,8,1,41,32,62.8,0,164,101
Austin Ekeler,51,436,1,5,0,39,21,41.2,2,533,74
Ezekiel Elliott,51,313,2,1,0,23,12,23.5,1,367,65
Gerald Everett,51,411,3,4,0,31,25,49,3,275,70
Diontae Johnson,51,717,5,10,2,71,38,74.5,1,261,87
Samaje Perine,50,455,0,3,0,29,23,46,2,462,56
Darius Slayton,50,770,4,11,3,80,29,58,0,298,79
Jonnu Smith,50,582,3,4,2,60,26,52,1,357,70
Jahan Dotson,49,518,4,5,0,33,27,55.1,0,115,83
Demario Douglas,49,561,0,6,2,42,26,53.1,1,329,78
Antonio Gibson,48,389,2,3,1,41,19,39.6,2,377,59
K.J. Osborn,48,540,3,7,1,47,28,58.3,1,185,75
Tank Dell,47,709,7,10,3,68,34,72.3,0,152,75
Tyler Higbee,47,495,2,6,0,33,26,55.3,0,246,70
Cade Otton,47,455,4,6,0,27,22,46.8,1,223,67
