Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,1459,272,14,9,3,72,83,30.5,2
Derrick Henry,1167,280,12,5,2,69,63,22.5,0
Kyren Williams,1144,228,12,7,1,56,62,27.2,2
James Cook,1122,237,2,6,1,42,53,22.4,3
D'Andre Swift,1049,229,5,6,1,43,50,21.8,2
James Conner,1040,208,7,11,1,44,57,27.4,0
Najee Harris,1035,255,8,8,0,25,50,19.6,2
Joe Mixon,1034,257,9,3,1,44,59,23,0
David Montgomery,1015,219,13,4,2,75,59,26.9,2
Raheem Mostert,1012,209,18,7,2,49,59,28.2,2
Travis Etienne,1008,267,11,6,1,62,53,19.8,0
Tony Pollard,1005,252,6,6,0,31,56,22.2,1
Breece Hall,994,223,5,7,4,83,40,17.9,2
Rachaad White,990,272,6,3,0,38,46,16.9,2
Bijan Robinson,976,214,4,7,0,38,50,23.4,4
Saquon Barkley,962,247,6,7,0,36,51,20.6,2
Jahmyr Gibbs,945,182,10,10,0,36,42,23.1,2
Isiah Pacheco,935,205,7,6,1,48,53,25.8,1
Kenneth Walker III,905,219,8,7,1,45,46,21,1
Chuba Hubbard,902,238,5,4,0,22,59,24.8,0
Devin Singletary,898,216,4,3,0,24,40,18.5,1
Lamar Jackson,821,148,5,4,0,30,48,32.4,4
Jerome Ford,813,204,4,5,2,69,33,16.2,1
Gus Edwards,810,198,13,6,1,42,49,24.8,2
Josh Jacobs,805,233,6,3,2,63,34,14.6,2
De'Von Achane,800,103,8,8,5,76,30,29.1,1
Zack Moss,794,183,5,6,2,56,43,23.5,0
Jaylen Warren,784,149,4,6,1,74,36,24.2,3
Javonte Williams,774,217,3,2,0,21,41,18.9,0
Jonathan Taylor,741,169,7,4,2,49,42,24.8,1
Brian Robinson,733,178,5,4,0,29,46,25.8,3
Alexander Mattison,700,180,0,1,0,21,28,15.6,2
Alvin Kamara,694,180,5,0,0,17,42,23.3,0
Tyler Allgeier,683,186,4,2,0,31,39,21,0
Justin Fields,657,124,4,4,0,39,43,34.7,3
Aaron Jones,656,142,2,3,0,39,34,23.9,1
Ezekiel Elliott,642,184,3,0,0,17,32,17.4,1
Austin Ekeler,628,179,5,3,1,55,34,19,3
Rhamondre Stevenson,619,156,4,1,1,64,36,23.1,1
AJ Dillon,613,178,2,1,1,40,32,18,0
Khalil Herbert,611,132,2,5,0,38,25,18.9,0
Jalen Hurts,605,157,15,2,0,24,68,43.3,4
Josh Allen,524,111,15,1,0,23,57,51.4,5
Zach Charbonnet,462,108,1,4,0,23,32,29.6,0
Ty Chandler,461,102,3,3,0,31,20,19.6,0
Tyjae Spears,453,100,2,3,0,23,24,24,0
Zamir White,451,104,1,2,1,43,19,18.3,1
Miles Sanders,432,129,1,1,1,48,24,18.6,2
D'Onta Foreman,425,109,4,1,0,22,24,22,1
