Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Andrew Beck,85,1,85,1,1,1,85,0,0
Marvin Mims Jr.,44,4,176,1,4,1,99,0,0
Damien Harris,41,1,41,0,1,1,41,0,0
Laviska Shenault Jr.,37,1,37,0,1,0,37,0,0
Ty Montgomery,31,2,62,0,1,1,43,0,0
Anthony McFarland,30.3,3,91,0,3,0,34,0,0
Britain Covey,30,1,30,0,1,0,30,0,0
Keisean Nixon,26.8,5,134,0,5,0,30,0,0
DeeJay Dallas,26,6,156,0,6,0,34,0,0
Pierre Strong,26,1,26,0,1,0,26,0,0
Xavier Gipson,25.2,4,101,0,3,0,30,0,0
Derius Davis,24,1,24,0,1,0,24,0,0
Greg Dortch,23.5,2,47,0,1,0,28,0,0
Jamal Agnew,23,4,92,0,3,0,33,0,0
DeAndre Carter,23,1,23,0,1,0,23,0,0
Deven Thompkins,23,1,23,0,1,0,23,0,0
Chris Evans,22.5,2,45,0,1,0,27,0,0
Antonio Gibson,22,3,66,0,2,0,28,0,0
Tyler Scott,21,4,84,0,2,0,33,0,0
Rashid Shaheed,21,9,189,0,5,0,27,0,1
Tyjae Spears,21,1,21,0,1,0,21,1,0
Austin Trammell,20,1,20,0,1,0,20,0,0
Devin Duvernay,19,2,38,0,1,0,20,1,0
Dallis Flowers,19,1,19,0,0,0,19,2,0
Devin Singletary,18.5,2,37,0,1,0,24,0,0
Devon Allen,17,1,17,0,0,0,17,0,0
Eric Gray,16,1,16,0,0,0,16,0,0
Colby Parkinson,16,1,16,0,0,0,16,0,0
Ronnie Rivers,16,1,16,0,0,0,16,2,0
Mike Hughes,15.3,3,46,0,0,0,19,0,0
Ty Chandler,15,1,15,0,0,0,15,0,0
Mike Boone,14,1,14,0,0,0,14,0,0
Richie James,14,1,14,0,0,0,14,0,0
Myles Bryant,11,1,11,0,0,0,11,0,0
Quez Watkins,11,1,11,0,0,0,11,0,0
Kyren Williams,8,1,8,0,0,0,8,0,0
Hunter Luepke,0,1,0,0,0,0,0,0,0
Gunner Olszewski,0,1,0,0,0,0,0,0,0
