Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jake Camarda,53.5,43.6,1046,24,74,1283,12,3,2,3,4,12,177,0,0
Ryan Stonehouse,51.6,41.2,948,23,74,1186,9,5,0,3,2,13,178,0,0
Bryan Anger,51.5,44.7,850,19,57,978,6,0,2,1,5,11,108,0,0
Ryan Wright,51.3,44.4,932,21,63,1078,3,3,2,3,3,10,86,0,0
AJ Cole,51,48.1,962,20,70,1021,11,2,2,1,8,7,39,0,0
Michael Dickson,50.6,46.8,748,16,73,810,7,2,4,2,1,7,22,0,0
Blake Gillikin,50.4,36.4,255,7,62,353,1,0,0,0,0,7,98,0,0
Ethan Evans,49.2,41.2,823,20,72,983,7,3,0,1,6,10,140,0,0
Logan Cooke,48.8,45,1080,24,62,1170,14,4,2,2,7,9,50,0,0
Jamie Gillan,48.7,45.3,1133,25,64,1218,9,0,3,1,13,8,65,0,0
Tommy Townsend,48.7,44,792,18,62,877,8,1,4,1,5,7,65,0,0
Corey Bojorquez,48.1,42.5,1148,27,69,1299,10,7,2,2,6,10,111,0,0
Thomas Morstead,47.9,44.4,1287,29,58,1389,12,3,2,2,12,10,62,0,0
Mitch Wishnowsky,47.9,43.6,915,21,67,1005,12,2,4,1,5,9,70,0,0
Bradley Pinion,47.7,42.4,1144,27,62,1288,10,5,2,1,9,10,124,0,0
Johnny Hekker,47.5,44.2,1193,27,69,1283,10,1,5,1,10,10,70,0,0
Jordan Stout,47.5,39.8,1113,29,67,1329,13,3,3,1,9,12,196,1,1
Daniel Whelan,47.4,38.1,839,22,68,1044,4,0,1,3,9,9,145,1,0
Pressley Harvin III,47.2,40.6,772,19,63,897,8,3,4,2,2,8,85,0,0
Trenton Gill,46.5,38.2,879,23,58,1070,6,2,4,1,3,13,171,0,0
Sam Martin,46.4,40.5,648,16,70,743,6,2,1,1,5,7,75,1,0
Tress Way,46.4,39.9,998,25,66,1160,8,0,4,0,6,15,162,0,0
Rigoberto Sanchez,45.6,39.3,983,25,54,1139,8,3,5,0,3,14,156,0,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Jack Fox,45.3,41.5,913,22,62,997,11,1,3,1,8,9,64,0,0
Jake Bailey,45.1,42.5,595,14,60,631,2,2,1,0,6,5,36,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Brad Robbins,44.2,39.5,1263,32,62,1416,6,4,1,2,12,13,113,0,0
Riley Dixon,44.2,41.1,945,23,61,1016,7,2,3,0,7,11,71,0,0
Bryce Baringer,44.1,39.2,1292,33,65,1456,16,6,1,1,11,14,144,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,43.2,39.8,1235,31,55,1339,11,5,3,2,8,13,64,0,0
Cameron Johnston,42.8,40.1,441,11,63,471,5,1,3,1,5,1,10,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
Braden Mann,41.3,39.3,275,7,48,289,4,0,2,0,4,1,14,0,0
J.K. Scott,40.7,38.4,807,21,62,854,6,1,4,1,10,5,27,0,0
