Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Tyler Bass,41,2573,239,28,68.3,12,19.9,1,0,1,0
Jake Elliott,39,2522,196,32,82,7,28,0,0,0,0
Matt Gay,39,2501,188,29,74.4,8,23.5,0,0,0,0
Harrison Butker,38,2471,22,37,97.4,1,22,0,0,0,0
Brandon McManus,38,2441,132,31,81.6,4,33,0,0,0,1
Justin Tucker,37,2364,60,33,89.2,3,20,0,0,0,0
Brandon Aubrey,36,2344,28,35,97.2,1,28,0,0,0,0
Cairo Santos,36,2297,106,30,83.3,5,21.2,1,0,0,0
Ethan Evans,35,2275,49,33,94.3,2,24.5,0,0,0,0
Blake Grupe,35,2286,84,31,88.6,4,21,0,0,0,0
Jason Sanders,35,2282,219,29,82.9,6,36.5,0,0,0,1
Greg Joseph,34,2163,191,26,76.5,7,27.3,1,0,0,0
Wil Lutz,34,2111,0,32,94.1,0,0,2,0,0,0
Jake Moody,34,2144,200,20,58.8,11,18.2,0,0,2,0
Dustin Hopkins,33,2105,193,21,63.6,10,19.3,0,0,0,0
Jason Myers,33,2107,119,24,72.7,6,19.8,0,0,1,0
Ka'imi Fairbairn,32,2068,213,20,62.5,10,21.3,0,0,0,0
Matt Prater,32,2086,63,28,87.5,3,21,0,0,0,0
Cameron Dicker,30,1952,61,28,93.3,2,30.5,0,0,0,0
Jack Fox,30,1939,285,17,56.7,13,21.9,0,0,0,0
Daniel Carlson,29,1862,183,21,72.4,8,22.9,0,0,0,0
Nick Folk,29,1809,245,16,55.2,11,22.3,1,0,0,0
Bradley Pinion,29,1885,118,23,79.3,5,23.6,0,0,0,0
Joey Slye,29,1885,0,29,100,0,0,0,0,0,0
Anders Carlson,28,1768,192,18,64.3,9,21.3,1,0,0,0
Chris Boswell,27,1745,47,25,92.6,2,23.5,0,0,0,0
Jake Camarda,27,1719,164,18,66.7,8,20.5,0,0,0,0
Chad Ryland,26,1657,142,19,73.1,7,20.3,0,0,0,0
Graham Gano,25,1623,112,21,84,4,28,0,0,0,0
Evan McPherson,25,1601,53,21,84,3,17.7,0,0,0,0
Eddy Pineiro,24,1444,179,15,62.5,7,25.6,2,0,0,0
Greg Zuerlein,23,1495,0,23,100,0,0,0,0,0,0
Jake Bailey,8,522,41,6,75,2,20.5,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Riley Patterson,6,326,55,2,33.3,3,18.3,1,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Jordan Stout,1,60,24,0,0,1,24,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
