Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Mecole Hardman,50,1,50,0,1,1,50,2,0
Charlie Jones,18.8,8,150,1,1,1,81,2,0
Marvin Mims Jr.,18.5,6,111,0,2,1,45,5,1
Rashid Shaheed,18.3,9,165,1,2,1,76,15,0
Devin Duvernay,15.2,13,198,0,3,1,70,12,0
Myles Bryant,14,1,14,0,0,0,14,2,0
Britain Covey,13.9,14,195,0,4,1,52,6,1
Xavier Gipson,13.7,10,137,1,1,1,65,7,2
DeeJay Dallas,13.6,12,163,0,3,0,32,6,1
Mason Kinsey,12.5,4,50,0,1,0,21,1,0
Derius Davis,12.2,10,122,0,2,0,26,4,1
Christian Kirk,12,1,12,0,0,0,12,2,0
Trenton Irwin,11.8,6,71,0,2,0,28,1,1
Kalif Raymond,10.6,13,138,0,1,0,24,10,0
Keisean Nixon,10.6,5,53,0,1,0,34,0,0
Isaiah McKenzie,10.5,13,137,0,2,0,32,10,1
Jamison Crowder,10.5,14,147,0,2,1,61,6,1
Braxton Berrios,10.4,7,73,0,0,0,18,12,0
Jamal Agnew,10.4,8,83,0,1,1,48,7,0
Ray-Ray McCloud,10.1,15,152,0,0,0,19,6,0
Tank Dell,10,5,50,0,0,0,14,3,1
Deuce Vaughn,10,1,10,0,0,0,10,0,0
Jaelon Darden,9.8,4,39,0,0,0,11,1,0
Jayden Reed,9.7,6,58,0,1,0,35,5,1
DeAndre Carter,9.1,9,82,0,0,0,18,3,1
Trent Taylor,8.8,6,53,0,0,0,12,8,0
Demario Douglas,8.2,6,49,0,1,0,25,3,0
Kearis Jackson,8,6,48,0,0,0,14,3,0
Gunner Olszewski,8,1,8,0,0,0,8,1,1
Montrell Washington,7.6,8,61,0,1,0,23,4,2
KaVontae Turpin,7.5,6,45,0,0,0,15,11,0
Greg Dortch,7.4,12,89,0,0,0,19,5,0
Deonte Harty,7.1,7,50,0,1,0,23,12,1
Marcus Jones,7,3,21,0,1,0,21,1,1
Kyren Williams,7,3,21,0,0,0,11,5,0
Robert Woods,6.8,4,27,0,0,0,10,6,0
Ihmir Smith-Marsette,6.5,13,85,0,0,0,15,4,0
Jabrill Peppers,6.5,4,26,0,0,0,18,3,1
Austin Trammell,6.4,7,45,0,1,0,29,4,1
Donovan Peoples-Jones,6.4,12,77,0,0,0,13,8,1
Mike Hughes,6.1,10,61,0,0,0,16,9,0
Brandon Powell,6.1,14,85,0,1,0,20,5,1
Kyle Philips,5.8,4,23,0,0,0,12,0,1
Deven Thompkins,5.8,8,46,0,0,0,16,7,1
Parker Washington,5,1,5,0,0,0,5,0,0
Calvin Austin III,4.9,9,44,0,0,0,14,3,0
Eric Gray,4,7,28,0,0,0,14,5,2
Richie James,4,6,24,0,0,0,9,2,1
Scott Miller,4,1,4,0,0,0,4,0,0
Sterling Shepard,3.3,3,10,0,0,0,5,2,1
Tevaughn Campbell,0,1,0,0,0,0,0,0,1
Dee Alford,0,1,0,0,0,0,0,1,0
Jalen Tolbert,0,1,0,0,0,0,0,0,1
Ced Wilson,0,1,0,0,0,0,0,0,0
