Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Commanders,397,264,66.5,7,2783,17,9,91.5,127,32,32,3,51T,47,317
Vikings,385,267,69.4,7.4,2858,21,5,103.6,138,35.8,43,5,62T,23,134
Saints,382,248,64.9,6.6,2526,13,7,87.4,113,29.6,28,8,58T,24,152
Bills,350,246,70.3,7.4,2600,19,11,96.6,124,35.4,27,5,55T,13,64
Panthers,349,217,62.2,5.5,1928,10,7,78.1,97,27.8,17,4,48T,32,261
Bengals,349,233,66.8,6.3,2208,14,6,90.3,110,31.5,20,4,64T,22,166
Patriots,349,222,63.6,6.1,2135,10,11,77,98,28.1,19,2,58T,23,139
Colts,340,213,62.6,6.8,2298,11,7,84.7,106,31.2,30,6,75,22,117
Chiefs,340,232,68.2,7.3,2473,17,10,93.7,120,35.3,29,4,54,12,89
Lions,326,223,68.4,7.7,2507,14,5,99,120,36.8,41,5,46,16,100
Chargers,323,217,67.2,7.4,2398,18,5,101.1,116,35.9,35,4,60T,20,156
Falcons,322,203,63,7,2260,9,7,84.1,110,34.2,27,5,60T,30,211
Texans,319,197,61.8,8.2,2632,16,2,102,126,39.5,43,5,75,19,163
Cardinals,319,198,62.1,5.9,1880,8,8,76.3,96,30.1,19,2,69,26,186
Cowboys,317,225,71,7.9,2514,17,7,103,121,38.2,39,4,60,23,163
Rams,316,184,58.2,7.1,2242,8,8,78.1,104,32.9,37,3,49,21,163
Raiders,314,199,63.4,6.7,2111,9,14,73.9,108,34.4,16,3,50T,25,190
Dolphins,311,216,69.4,8.6,2676,20,8,106.5,131,42.1,34,8,69,15,89
Jets,308,183,59.4,6,1863,5,6,74.1,81,26.3,22,3,68T,34,250
Jaguars,307,207,67.4,7,2146,9,6,89,97,31.6,25,3,56T,24,153
Browns,306,173,56.5,6.1,1863,8,12,66.9,83,27.1,22,6,59,28,195
Seahawks,306,198,64.7,7.3,2234,11,7,88.9,102,33.3,27,4,64T,19,149
Buccaneers,306,197,64.4,7,2143,14,5,93.4,99,32.4,32,6,70,16,86
Bears,305,194,63.6,6.8,2060,14,12,82.1,103,33.8,24,3,58,30,183
Eagles,305,210,68.8,7.7,2347,15,8,97,106,34.8,32,6,63T,22,123
Packers,301,177,58.8,6.7,2023,14,10,80.8,99,32.9,26,4,77,19,143
Giants,301,196,65.1,5.8,1748,7,9,75.8,81,26.9,22,2,58,54,292
Steelers,285,173,60.7,6.2,1772,7,6,78,76,26.7,21,3,72,20,149
Ravens,284,199,70.1,7.8,2215,11,5,98.6,98,34.5,31,5,80,24,137
Titans,272,163,59.9,7,1903,7,8,77.5,80,29.4,30,7,70,33,236
Broncos,262,178,67.9,6.9,1806,18,4,104,83,31.7,23,5,60T,30,145
49ers,253,174,68.8,9.2,2336,15,5,109.4,109,43.1,38,5,66T,16,98
