Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,20.7,9,186,0,4,1,45,6,1
Chargers,16.6,14,232,1,3,1,87T,11,2
Saints,14.9,17,253,1,2,1,76T,20,0
Eagles,14,16,224,0,5,1,52,8,1
Bengals,13.8,18,248,1,3,1,81T,7,1
Ravens,13.4,20,268,0,4,1,70,15,0
Seahawks,11.7,18,210,0,3,0,32,9,1
Cardinals,10.7,19,204,0,2,1,49,8,0
Raiders,10.5,13,137,0,1,0,32,5,1
Lions,10.5,16,168,0,1,0,24,13,0
Packers,10.4,16,166,0,3,0,35,9,2
Jets,10,17,170,1,1,1,65T,16,2
Jaguars,9.9,15,149,0,1,1,48,11,1
49ers,9.6,19,182,0,0,0,19,7,0
Bills,9.5,12,114,0,2,0,24,16,1
Panthers,9.4,22,208,1,2,1,79T,10,1
Colts,9.2,18,166,0,2,0,32,14,2
Commanders,9,22,198,0,2,1,61,7,1
Dolphins,8.8,11,97,0,0,0,18,16,0
Bears,8.8,9,79,0,0,0,14,14,0
Texans,7.9,16,127,0,1,0,20,12,1
Vikings,7.8,20,155,0,2,0,24,11,1
Browns,7.7,26,201,0,0,0,17,11,2
Titans,7.6,24,183,0,1,0,21,7,1
Rams,7,14,98,0,1,0,29,11,1
Chiefs,7,21,146,0,2,1,50,11,4
Patriots,6.8,16,108,0,2,0,25,13,2
Giants,6.7,19,127,0,0,0,17,12,4
Steelers,6.1,14,85,0,0,0,14,8,1
Buccaneers,5.9,14,83,0,0,0,16,7,2
Cowboys,5.8,15,87,0,0,0,15,12,1
Falcons,5.3,15,79,0,0,0,16,13,0
