Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Browns,24,88.9,14,93.3,0,0
Jets,23,95.8,7,100,0,1
Texans,22,95.6,17,100,1,0
Falcons,21,95.4,14,93.3,0,0
Titans,21,95.4,13,100,0,0
Rams,20,74.1,12,92.3,0,0
Seahawks,20,83.3,18,100,0,0
Cowboys,19,100,26,96.3,0,0
Saints,19,79.2,19,100,0,1
Jaguars,18,90,18,100,0,0
Chiefs,18,100,22,100,0,0
Eagles,18,90,26,96.3,0,0
Cardinals,18,90,10,90.9,0,0
Ravens,17,81,29,96.7,0,0
Broncos,17,89.5,15,88.2,1,0
Colts,17,85,25,100,0,0
Raiders,17,85,15,100,0,0
Steelers,17,94.4,13,100,0,0
Buccaneers,17,89.5,15,100,0,0
Panthers,16,84.2,13,92.9,0,1
Bears,15,93.8,19,95,0,0
Vikings,15,75,24,92.3,0,0
Bengals,14,82.4,20,100,0,1
Chargers,14,93.3,27,100,0,1
49ers,14,82.4,30,100,0,0
Commanders,14,77.8,21,95.4,0,0
Lions,13,86.7,28,100,0,0
Packers,13,86.7,16,94.1,0,0
Bills,12,80,28,100,0,0
Patriots,12,70.6,13,100,0,0
Giants,12,66.7,10,100,0,0
Dolphins,7,77.8,36,97.3,0,0
