Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,21,13,35,1
Dolphins,17,22,40,0
Lions,16,16,33,1
Eagles,15,15,31,1
49ers,15,18,33,0
Colts,13,11,26,2
Bills,12,22,35,3
Browns,11,8,20,4
Jaguars,11,11,24,2
Rams,10,9,19,2
Cardinals,10,9,19,2
Falcons,9,9,18,1
Bears,9,15,25,1
Cowboys,9,19,33,2
Chargers,9,20,30,1
Commanders,8,18,27,2
Raiders,7,10,18,1
Saints,7,13,22,3
Steelers,7,7,15,0
Seahawks,7,12,21,1
Packers,6,16,23,2
Titans,6,9,15,0
Texans,6,18,25,1
Vikings,5,22,27,1
Patriots,5,10,15,0
Bengals,4,16,22,0
Chiefs,4,19,23,0
Giants,4,10,16,0
Buccaneers,4,15,20,2
Jets,3,6,10,2
Panthers,2,11,16,1
Broncos,1,19,21,2
