Team,INT,INT TD,INT Yds,Lng
49ers,15,0,214,32
Saints,14,1,95,27T
Bears,13,1,117,42T
Bengals,12,1,110,30
Cowboys,12,5,249,63T
Colts,12,2,177,66T
Giants,12,2,281,102
Jets,12,1,145,51T
Steelers,12,1,129,32T
Ravens,11,1,171,52T
Bills,11,1,84,32T
Jaguars,11,2,171,61
Broncos,10,0,81,33
Raiders,10,1,219,75T
Browns,9,1,78,34T
Dolphins,9,2,184,99
Vikings,9,0,111,43
Cardinals,9,0,98,46
Buccaneers,9,1,83,28T
Lions,8,1,116,50T
Texans,8,0,60,33
Seahawks,8,3,170,97
Falcons,6,1,124,92T
Chiefs,6,0,41,16
Patriots,6,0,42,20
Eagles,6,1,108,70T
Chargers,6,0,31,9
Commanders,6,0,26,23
Panthers,5,2,202,99
Packers,5,1,66,37T
Rams,5,0,18,18
Titans,3,0,38,18
