Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,484,2395,5,24,19,3,60,132,27.3,4
Falcons,473,1947,4.1,13,9,0,38T,110,23.3,11
Bears,472,2132,4.5,13,11,0,39T,123,26.1,5
Browns,466,1786,3.8,14,8,3,69,107,23,7
Eagles,463,1966,4.2,22,10,1,43,135,29.2,9
Lions,446,2116,4.7,24,14,3,75,112,25.1,7
Bills,439,1957,4.5,20,9,1,42,137,31.2,8
49ers,431,2080,4.8,24,11,3,72,126,29.2,4
Cowboys,418,1728,4.1,13,11,1,46,103,24.6,4
Rams,418,1831,4.4,14,10,1,56T,96,23,2
Colts,413,1698,4.1,17,11,3,56T,94,22.8,3
Dolphins,411,2046,5,26,15,7,76T,102,24.8,12
Saints,410,1480,3.6,11,3,0,29,94,22.9,5
Giants,404,1660,4.1,7,10,0,36,81,20,6
Steelers,402,1653,4.1,12,11,1,74T,93,23.1,7
Panthers,401,1581,3.9,7,8,1,48T,101,25.2,5
Broncos,398,1661,4.2,7,9,0,38,103,25.9,4
Titans,397,1618,4.1,14,8,1,63,92,23.2,5
Jaguars,395,1409,3.6,15,8,0,35T,87,22,5
Buccaneers,395,1339,3.4,8,4,0,38T,70,17.7,3
Cardinals,393,1938,4.9,15,17,5,49,100,25.4,8
Texans,388,1476,3.8,9,3,0,22,72,18.6,5
Chargers,377,1438,3.8,11,9,3,55T,75,19.9,3
Packers,375,1604,4.3,9,12,1,40T,82,21.9,5
Patriots,370,1436,3.9,7,3,1,64,83,22.4,3
Chiefs,367,1529,4.2,9,7,1,48T,97,26.4,2
Raiders,357,1329,3.7,10,6,3,63,69,19.3,5
Vikings,355,1397,3.9,7,5,0,31,72,20.3,9
Seahawks,342,1354,4,10,11,1,45T,80,23.4,1
Commanders,328,1480,4.5,14,8,0,29,91,27.7,5
Jets,325,1355,4.2,6,7,3,83,62,19.1,11
Bengals,321,1240,3.9,10,5,0,31,73,22.7,1
