Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,97,6287,90,92.8,5,24.2,0,0,1,0
Ravens,92,5932,74,80.4,17,22.6,0,0,0,0
Dolphins,90,5813,77,85.6,13,27.4,0,0,0,1
49ers,87,5503,52,59.8,32,23.3,0,0,2,0
Bills,85,5304,45,52.9,27,19.6,1,0,1,0
Rams,83,5280,71,85.5,11,26.9,1,0,0,0
Browns,82,5161,50,61,24,20.7,0,0,0,1
Lions,82,5149,52,63.4,25,20.5,2,0,0,0
Colts,82,5242,62,75.6,14,25.8,0,0,0,0
Eagles,82,5273,67,81.7,14,29.8,1,0,0,0
Bears,77,4851,60,77.9,14,25,2,0,0,0
Saints,76,4853,61,80.3,12,18.8,1,0,0,0
Seahawks,76,4835,49,64.5,19,21.8,0,0,1,0
Buccaneers,76,4817,51,67.1,22,18.7,0,0,0,0
Packers,75,4746,36,48,30,22.4,1,0,1,0
Jaguars,75,4707,55,73.3,14,25.4,2,0,0,1
Broncos,74,4668,64,86.5,7,20.9,3,0,0,0
Texans,74,4578,45,60.8,24,22.5,2,1,0,0
Chiefs,73,4785,64,87.7,9,26.9,0,0,0,0
Vikings,73,4673,56,76.7,15,23.7,1,0,1,0
Chargers,73,4699,62,84.9,10,19,0,0,0,0
Falcons,72,4677,61,84.7,9,23,0,0,1,0
Bengals,72,4542,56,77.8,11,18.4,2,0,0,0
Raiders,67,4305,41,61.2,26,22.4,0,0,0,0
Cardinals,67,4123,55,82.1,6,22.2,4,1,0,0
Titans,66,4119,33,50,30,23.2,2,0,0,0
Commanders,66,4133,60,90.9,3,27.3,3,0,1,0
Steelers,65,4148,47,72.3,15,26.3,0,0,0,0
Jets,64,4084,55,85.9,6,14.7,1,0,0,0
Panthers,60,3637,36,60,19,24,4,0,1,0
Patriots,55,3453,37,67.3,17,20.7,1,0,0,0
Giants,54,3440,36,66.7,14,24.2,0,0,1,0
