Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,558,362,64.9,7.7,4318,35,7,195,35,39
Chiefs,509,312,61.3,6.1,3094,19,8,157,30.8,54
Browns,507,286,56.4,5.9,2973,20,17,126,24.8,46
Bengals,529,351,66.4,8.2,4314,21,15,193,36.5,41
Vikings,574,403,70.2,6.9,3968,21,11,195,34,42
Chargers,568,374,65.8,7.8,4426,26,8,197,34.7,47
Jets,492,301,61.2,6.3,3094,19,15,147,29.9,41
Saints,524,308,58.8,6.6,3450,20,16,156,29.8,33
Jaguars,590,387,65.6,7.1,4187,25,15,188,31.9,38
Cowboys,481,288,59.9,6.9,3324,20,15,157,32.6,41
Lions,544,341,62.7,7.7,4166,26,14,194,35.7,37
Panthers,449,289,64.4,6.6,2972,19,8,156,34.7,24
Texans,541,369,68.2,7.8,4193,17,14,179,33.1,45
Rams,578,351,60.7,6.9,4006,23,10,183,31.7,38
Colts,542,350,64.6,7.2,3893,19,15,182,33.6,49
Packers,507,331,65.3,7.2,3655,21,7,181,35.7,40
Seahawks,555,368,66.3,7.2,3997,20,11,191,34.4,46
Bills,525,346,65.9,6.7,3503,17,16,174,33.1,53
Dolphins,530,350,66,7.1,3773,25,13,172,32.4,53
Buccaneers,593,393,66.3,7.5,4474,23,13,211,35.6,45
Patriots,555,362,65.2,6.7,3721,19,10,178,32.1,35
Eagles,618,400,64.7,6.9,4240,34,8,209,33.8,41
Raiders,530,356,67.2,6.8,3628,20,12,175,33,41
Cardinals,478,331,69.2,7.6,3657,30,11,190,39.8,33
Bears,585,383,65.5,6.7,3929,29,22,182,31.1,29
Falcons,521,318,61,6.6,3443,20,8,170,32.6,39
Steelers,545,333,61.1,7.4,4018,22,16,177,32.5,43
Giants,546,351,64.3,7.2,3954,20,16,182,33.3,29
Broncos,540,362,67,7.5,4058,27,11,189,35,39
Titans,528,358,67.8,7.4,3901,18,4,177,33.5,45
Ravens,614,366,59.6,5.8,3565,17,18,167,27.2,57
49ers,597,393,65.8,6.3,3786,18,21,179,30,46
