Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Patriots,31,2,62,0,1,1,43,0,0
Steelers,30.3,3,91,0,3,0,34,0,0
Broncos,27.5,2,55,0,2,0,30,0,0
Packers,27.5,2,55,0,2,0,28,0,0
Seahawks,25,2,50,0,1,0,34,0,0
Jets,23,2,46,0,1,0,28,0,0
Buccaneers,23,1,23,0,1,0,23,0,0
Bengals,22.5,2,45,0,1,0,27,0,0
Saints,22,5,110,0,3,0,27,0,1
Bears,21,4,84,0,2,0,33,0,0
Commanders,21,1,21,0,1,0,21,0,0
Jaguars,20,1,20,0,1,0,20,0,0
Colts,19,1,19,0,0,0,19,0,0
Ravens,18,1,18,0,0,0,18,0,0
Vikings,15,1,15,0,0,0,15,0,0
Eagles,11,1,11,0,0,0,11,0,0
Rams,8,1,8,0,0,0,8,1,0
