Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Texans,52,25,6,3,42,53.8,8,10.7,207
Patriots,49,20,6,2,37,45.7,23,26.4,218
Panthers,47,19,4,1,34,44.7,16,24.6,203
Bengals,47,17,3,2,28,41.8,11,19,185
Cowboys,47,24,3,1,35,50.7,27,25.2,213
Colts,46,16,6,1,34,44.7,20,23.8,209
Saints,46,18,1,1,32,47.1,17,20.7,198
Ravens,45,23,1,0,27,42.9,30,28.3,200
Steelers,44,15,3,1,25,40.3,11,17.7,174
Browns,43,15,3,1,33,50.8,26,24.5,220
Packers,43,20,6,2,33,64.7,14,17.7,178
Eagles,43,20,5,3,25,39.7,37,32.7,214
Rams,42,19,4,3,46,60.5,19,25.3,208
Buccaneers,42,19,2,2,29,46.8,14,16.7,180
Bills,41,21,5,3,38,47.5,28,31.1,207
Chiefs,41,19,3,2,38,49.4,25,30.5,201
Lions,40,15,6,2,39,54.2,18,19.6,198
Giants,40,15,6,4,26,40,18,27.3,178
Chargers,40,16,6,4,46,50.6,23,30.3,205
Falcons,39,12,5,3,25,45.4,25,27.5,191
Bears,38,13,4,2,26,51,19,26.8,172
Vikings,38,16,4,3,49,51,9,18,196
49ers,38,17,1,1,37,60.7,25,24.8,198
Titans,37,10,2,1,22,44.9,15,21.1,167
Jaguars,37,11,6,1,37,48.7,18,22.5,202
Jets,37,8,4,3,19,43.2,14,21.2,160
Broncos,35,12,3,2,32,47.1,17,26.2,179
Cardinals,34,13,1,0,28,47.5,22,26.2,171
Seahawks,33,10,2,2,39,54.9,20,26.3,184
Raiders,31,12,3,2,33,51.6,11,17.5,161
Commanders,31,8,2,1,29,44.6,23,35.9,182
Dolphins,28,13,4,2,54,73,23,24.7,197
