Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Eagles,76,252,3.3,2,15,19.7
Ravens,98,370,3.8,0,20,20.4
Cowboys,97,447,4.6,2,20,20.6
Lions,80,243,3,3,18,22.5
49ers,68,264,3.9,2,21,30.9
Browns,89,287,3.2,2,12,13.5
Bills,75,474,6.3,2,20,26.7
Chiefs,94,416,4.4,1,20,21.3
Buccaneers,92,379,4.1,2,23,25
Colts,134,507,3.8,6,32,23.9
Falcons,116,458,4,1,22,19
Texans,107,466,4.4,7,28,26.2
Chargers,101,417,4.1,5,29,28.7
Jaguars,96,379,4,2,21,21.9
Dolphins,114,494,4.3,6,37,32.5
Rams,100,444,4.4,5,22,22
Patriots,107,404,3.8,4,23,21.5
Cardinals,119,528,4.4,7,39,32.8
Titans,97,280,2.9,1,18,18.6
Bears,122,462,3.8,4,31,25.4
Saints,100,413,4.1,1,20,20
Seahawks,110,350,3.2,5,23,20.9
Panthers,115,545,4.7,6,31,27
Giants,121,535,4.4,7,32,26.4
Commanders,108,490,4.5,4,30,27.8
Packers,139,621,4.5,5,41,29.5
Steelers,126,594,4.7,2,28,22.2
Raiders,125,537,4.3,4,27,21.6
Broncos,126,704,5.6,7,35,27.8
Jets,141,592,4.2,1,35,24.8
Bengals,123,628,5.1,3,34,27.6
Vikings,127,445,3.5,3,33,26
