Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,158,1679,10.6,14,23,3,62,81,51.3,3
Chiefs,156,1624,10.4,11,18,2,54T,76,48.7,2
Panthers,150,1335,8.9,8,12,1,47T,73,48.7,1
Bills,147,1576,10.7,13,16,5,55,77,52.4,2
Bengals,147,1230,8.4,7,7,2,63T,65,44.2,1
Commanders,145,1500,10.3,9,18,1,41T,71,49,2
Jaguars,144,1447,10,7,16,1,45T,70,48.6,3
Saints,143,1425,10,5,17,5,51T,65,45.4,0
Dolphins,142,1943,13.7,15,26,7,69,94,66.2,2
Lions,141,1618,11.5,11,29,2,45,77,54.6,2
Eagles,141,1542,10.9,7,19,5,63,68,48.2,1
Colts,140,1459,10.4,6,20,4,45T,70,50,2
Rams,139,1677,12.1,6,24,3,49,82,59,1
Giants,139,1176,8.5,2,13,1,58,56,40.3,2
Cowboys,136,1361,10,6,18,2,60,67,49.3,3
Patriots,136,1287,9.5,5,10,2,58T,56,41.2,2
Falcons,131,1402,10.7,6,17,1,45,72,55,1
Raiders,130,1419,10.9,7,13,1,48T,70,53.8,0
Texans,128,1666,13,10,25,4,68,78,60.9,0
Chargers,126,1382,11,10,22,3,51T,64,50.8,3
Cardinals,123,1215,9.9,6,12,2,69,63,51.2,0
Broncos,122,1305,10.7,12,19,5,60,55,45.1,4
Ravens,121,1253,10.4,5,18,2,52,55,45.4,3
Seahawks,113,1232,10.9,5,15,1,51,58,51.3,0
49ers,111,1397,12.6,10,20,3,42T,71,64,2
Bears,110,1284,11.7,11,22,2,58T,60,54.6,2
Jets,110,1097,10,4,13,1,68T,50,45.4,0
Buccaneers,106,1088,10.3,7,15,2,70,54,50.9,2
Titans,103,1204,11.7,3,18,5,70,51,49.5,1
Browns,102,991,9.7,4,9,2,58,45,44.1,3
Steelers,98,1045,10.7,5,14,3,72,40,40.8,2
Packers,90,1083,12,8,12,3,77T,49,54.4,0
