Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Giants,101,34,8,3,52,24.3,486
Saints,111,36,9,4,41,20.6,487
Colts,116,43,12,7,59,23.2,556
Lions,89,29,11,5,36,22,466
Rams,103,41,10,6,54,24.1,502
Eagles,100,43,16,6,30,21.6,482
Falcons,101,34,8,3,39,18,487
Jaguars,111,38,22,10,40,22.7,526
Ravens,123,46,15,5,42,21.8,532
Bears,103,50,9,5,37,19.2,497
Patriots,109,41,10,6,45,19.4,526
Vikings,108,47,13,7,55,24.7,519
Browns,92,26,4,3,31,18.1,384
Cardinals,95,43,6,2,70,29.4,512
Chiefs,103,39,15,7,46,22.9,485
Bills,100,40,8,3,43,22.6,473
Texans,97,43,6,1,48,25,452
Panthers,82,29,6,4,56,26.9,418
Cowboys,87,30,13,6,37,20,405
Steelers,97,41,8,2,49,23.1,477
Commanders,112,46,11,7,52,23.3,522
Buccaneers,99,50,6,3,43,24.2,454
Chargers,85,32,14,8,44,25.4,463
Packers,102,40,12,9,59,26.3,469
Broncos,91,35,14,7,57,24.8,512
Bengals,84,36,7,2,53,27.5,439
Raiders,104,47,9,6,67,26.8,518
Jets,105,42,2,1,53,22.4,482
Titans,96,37,8,5,38,19.4,444
Dolphins,104,39,16,7,64,29,517
49ers,101,41,10,5,47,27.8,499
Seahawks,104,47,13,4,41,21.6,482
